7EA22FB1	08EEDB43 024C90AF 81712420 8006580F 0674B210 7F440868 7E7A0AC6 814954B8 7F9579E4 5C5BD0E6 7DC8B910 7CE640EF 7DDBD919 7F504916 77959B0A 7D28F22D 8094F13D 80E319A8 76136EE3 7E78CA64 7B9FEB77 7F00612A 80319BF7 7F28B573 7FC37865 8119C2F8 810A0A45 7D3F70C2 7F61D1E8 7F0EF4AB 805A3A57 7FB17657 7D60D5CA 80060D7C
7D204512	806F8215 7D5CBD12 78760042 7F495775 5ED916E8 7D144119 7F3A5612 7C261274 7D3F70C2 813F3E67 79F06982 7E43279B 7E9F06BA 8069DF1C 80146BDE 7D600182 8108743F 81505C6E 7F5431BE 7E3E8C55 7692E821 5DD3403F 7CFE520B 7EF4DB48 5B1F7B49 7E6FDF0D 6C53FA46 7C1006EF 7D842203 5BF2D834 7EE1168E 7FD9C2D3 5F0FDB15 80BA1C1B 5B15AFC3 7E939969 5ED333AA 6A701636 0C5BEA30 7567C8A9 8150BAE6 7E7C34E2 80371BA8
7924EF74	7D40B3C9 7EB645B6 7FC3DDD4 7E42C4B2 7E751047 80C0E86A 81520496 807E4795 7698751A 7DF7093F 8169CA36 5F196B99 811C731F 814C1EFF 7D083B4B 813A1A7A 7F366908 8075EC98
83464FE3	814604EF 7D186C37 8133FC37 63037741 79399E5B 80595D7F 7F0F02A6
7ABCA5C7	76AFC28B 7B2EA58F 7FEE1B3E 81516B6D 7B55C516 7D51978C 5A3E8A10 8080DA7B 6E195CB4 7E05EEAD 77CE3FE4 7B674A4B 593E5200 5D55C6FA 78D20A7B 75829640 78CD2246 7BEC9CFE 61B1A771 79653C97 80333503 7523267D 5886E133 07103012 5C45D8D9 7610C1E8 7CB6BA4C
777F0DE6	5CE674DA 7EF1E50F 7DE691C2 79BCD4A5
80626611	63453F82 0744AAB5
5F45D6AD	7FB3BC5F 082AD4E5
8024EF6C	5BB0BF49 68AAE0B2 7CE8BC99 7EDDC4C2 809A6674 7BE4F55D 61A7C370 79366CDD 7C8AA146 80D01105 6D68121F
7F643CB8	7F8056C0 75F213CC 7FF30BEB 594F4A54 7EA3D6B4 7EF5F327 71E0F43B 7DE1608A 7FAF4A5D 6C363D8A 8066A578 763CF118 6E05D21D 7E2BF725 7C1EEB2B 8161F4C6 80719D2B 75564A5F 7D25FFD1 7AD4725A 7FB1ABBD 80F318DA
7E88CA87	7DC3F2D7 80287445 7AB0893C 7DC1F5FF 7FDA76F3 7A9B8097 75DE9D6B 7FC1BA44 7CE68587 7E847BA2 7A376F6D 80F0BD0D 78907EAE 7F2DAE57
7EA41377	7DDE6885 007AE8D2 7FF6360F 0DBC0887 7FDFC16D 076B02D1 62DD6F0C 807721F1 78A3B4FE 80C09FEB 72604A5E 7F22C203 755F4169 5E764B7A
592C03D9	7AF026DA 60A99621 5A6D4DF5 7712A0A8 7AF6173F 66913AC7 5F6F264E 5D933E18 7EDC22BF 81506099 5B1A30A8 0B9DF622 5C642B7D 5CFC8EC6 0AF61FE9 59F0EAA6 7FDA76F3 7E9DA64F 5B096C9D 784F6BA7 77690365 7F4D44FE 7597D6F7 78508008 75613372 7D656E91
7D9E87FF	766FA1C6 7D660055 7866F890 7E861B6F
7E3590DB	7FDA76F3
794058E3	7B60099A 760F0E9A 0263980E 78D0FE3F 7DF2478D 7A8CCA25 7F7B38AA 761ADC4A 7F4A4F35 75F6977B
80918023	7D057315 7962622F 80C0EE0D 80E543A2 803FF867 7D8D52DF 80DD088B 7FB62EAC 80AA7ECE 7CFC0927
80E40A7E	7DD8047D 804872A8 7D6225F8 81177256 7DB8B915 7639C0C6 80115456 7E77CFA2
7DA5C6A9	648F9FEA 77DC9766 078C98EE 09E1759A 0B5172FC 587596E8 7B366E62 7CD643DF 7B464D5D 7EA1BB1F 7C0F0832 5D4B4134 79148857 7C117700 814CF7CD 0259A33A 0A5D0DE5 5D6DB99B
6008C7C5	5D3A8FAA 8150EC13 5F5D0E09 7915894D 813E7DD0 7D7E73C7 80CB1B51 7D219F1C 80B59E45 7C6C5871 7F320DDC 7641AC8A 7FD9D7BD 80798969 80DD088B 7C0B7730 7E6D75E1
7F86029B	038CD482 080E3437 70086A40 7C947BED 5BADE0CC 81CAD75A 5A59AB42 77D0EA6C 81A259C5
7B7A8301	7EAC96D8 7FEC5A61 7D731480 7805900B 7B5C2323 7D5EAF8C
59AFBCCC	79CDD5DF 58CED63A 7A42C1E4 7F13C35B 79DCB021 80F7AD21 7EF3C679 79789C18 7E1F71CA
5874B0B9	80EE7EFC 5842E4FF 7E07F1BB 75FD8690 6111331A 7EE79AE3 7CA0352B 7E37CFEA 77F8EA61 7148F5A0
7D5406EC	6A572EB8 7AC767CB 5C0005A0 7F1B3F49 7C1BF160 7A2EEA59 5D8E0301 7F9C8EB3 7A3D316B 7A99EECE 7D44A602 7EE78F03 779C0701
7F418CD6	5961BFE1 81825AC2 7CF77069 7DFFF3A9 7DC9B0ED 7F2297A9 5C958FAD 7D68281B 7F9DCBC8 81E8FAB3 0525F96B 7F447B17 5A3A44FE 5886F103 7D4BE972 7FCD375E 0271626E 74112797 75F4AC60 04537BCB 5C89B983 7FE37D4F 0B5F75EE 7CFB563C 78E31479 7D5382EC 5C7A6828 5B0ECC1C 5D3882BD 7D5100F5 08D87B28 7D144119 75C8556C 80C8DA19 8035C9CB 7F602E30 800FA269 7D22511C
8025936D	7D53877B
7D8D870F	7F205640 79A26680 5F69950F 7AD7A163 7E318723 597D8C3C 791989DC 7ED9286B
7DC6E685	5E39DA95 7E31E3A8 80A462FA 781392A3 7652957A 79416D8F 7B54CB6A 7F6220F5 7E64A886 59E1B4EF 7E7A0AC6 794504FE 7783CDE7 7D16E260 7D8BD3B7 5F98A587 7C56A3B7 77050CB3 7B33077C 009AC6B2 7F4D2544 79EFC2A8 7E7A5930
7E10B8BC	7BF2A054 788FA302 08D98785 8178A5D8 7EBF46B5 60988FF3 7EF16CB4 5832D287 5DB04E61
8136AE6D	7E6EDBED
7E31EC21	7F9C99CB 7E35FA44 81889984 7DBFCF6D 806F97D4
