7E3B4287	Information not present<---Pattern Recognition and Neural Networks
5E9D3B7B	Information not present<---Pattern recognition : a statistical approach
8062DA64	Computer Graphics<---Accurate triangulations of deformed, intersecting surfaces
7B931931	Pattern Recognition<---Pattern recognition as a quest for minimum entropy
763B820C	Communications of The ACM<---Audit trail compaction for database recovery
76A4E3D5	Proceedings of the IEEE<---The self-organizing map
77E1AAAF	Neural Networks<---Convergence results for the EM approach to mixtures of experts architectures
805225B2	Information not present<---Fuzzy techniques in pattern recognition
76812D93	Biological Cybernetics<---Learning and Using Specific Instances
7B8744C5	Information not present<---Dynamic ID3: a symbolic learning algorithm for many-valued attribute domains
80AED1EE	World Congress on Computational Intelligence<---Fuzzy decision trees by fuzzy ID3 algorithm and its application to diagnosis systems
09433009	Journal of Research and Practice in Information Technology<---Concept development for Expert System Knowledge Bases
60584A2D	Information not present<---Maximum-entropy and Bayesian methods in inverse problems
7C5A52F6	IEEE Transactions on Computers<---On the Mean Accuracy of Hierarchical Classifiers
5D98A9EC	National Conference on Artificial Intelligence<---The Multi-Purpose Incremental Learning System AQ15 and Its Testing Application to Three Medical Domains
79192947	Sigplan Notices<---Detab/65 in third-generation Cobol
7BB4DC8C	Computational Learning Theory<---A statistical approach to decision tree modeling
7A34EA8E	IEEE Transactions on Systems, Man, and Cybernetics<---Generating fuzzy rules by learning from examples
6E852267	International Conference on Acoustics, Speech, and Signal Processing<---A fast codebook search algorithm for nearest-neighbor pattern matching
7CBB38D6	Neural Networks<---Constrained topological mapping for nonparametric regression analysis
7C61E26C	Information not present<---Perceptrons; an introduction to computational geometry
76DE6639	Proceedings of the IEEE<---A performance comparison of trained multilayer perceptrons and trained classification trees
80D27FA5	IEEE Transactions on Electronic Computers<---Geometrical and Statistical Properties of Systems of Linear Inequalities with Applications in Pattern Recognition
77FB8F01	Proceedings of the American Mathematical Society<---On the boundedness of an iterative procedure for solving a system of linear inequalities
583EB0FB	Information not present<---A theory of learning classification rules
7924637D	Machine Learning<---On the Handling of Continuous-Valued Attributes in Decision Tree Generation
583F0542	International Conference on Machine Learning<---Information filters and their implementation in the SYLLOG system
7B600FA4	Discrete Mathematics<---On computing the length of longest increasing subsequences
5CF5282A	International Joint Conference on Artificial Intelligence<---An empirical comparison of pattern recognition, neural nets, and machine learning classification methods
59AFD234	Information not present<---5: Programs For Machine Learning
7ABF77FE	Decision Support Systems<---FILM: a fuzzy inductive learning method for automated knowledge acquisition
80C8D4B9	Information not present<---Problem-Solving Methods in Artificial Intelligence
801B4B0E	IEEE Transactions on Acoustics, Speech, and Signal Processing<---Experiments on neural net recognition of spoken and written text
5883D728	Information not present<---Sequential methods in pattern recognition and machine learning
76B930CF	Applied Optics<---Self-organization and associative memory
7B7D6EDF	Machine Learning<---Bias in information-based measures in decision tree induction
7D284611	IEEE Transactions on Neural Networks<---Use of a quasi-Newton method in a feedforward neural network construction algorithm
75595B31	Communications of The ACM<---Use of decision tables in computer programming
7F1B0FB4	International Symposium on Circuits and Systems<---Decision trees applied to on-line transient stability assessment of power systems
06075140	Information not present<---Hybridizing the Genetic Algorithm and the K Nearest Neighbors Classification Algorithm
799296C4	Computing & Control Engineering Journal<---Recent developments in advanced robotics and intelligent systems
812E07BA	Neural Computation<---Approximate statistical tests for comparing supervised classification learning algorithms
7ED7FFA0	Proceedings of the National Academy of Sciences of the United States of America<---Neural networks and physical systems with emergent collective computational abilities
7DCB34EF	IEEE Transactions on Neural Networks<---Fast training algorithms for multilayer neural nets
794AB664	Europhysics Letters (epl)<---A Growth Algorithm for Neural Network Decision Trees
0021C33A	Information not present<---Learning Decision Trees for Mapping the Local Environment in Mobile Robot Navigation
7BFB9F1E	Fuzzy Sets and Systems<---Where do we stand on measures of uncertainty, ambiguity, fuzziness, and the like?
80785C53	World Congress on Computational Intelligence<---Medical expert system with elastic fuzzy logic
7516437E	Knowledge Discovery and Data Mining<---Exploring constraints to efficiently mine emerging patterns from large high-dimensional datasets
71FF8780	International Conference on Acoustics, Speech, and Signal Processing<---Color image-sequence compression using adaptive binary-tree vector quantization with codebook replenishment
7A394FA7	ACM Computing Surveys<---The Quadtree and Related Hierarchical Data Structures
7794B7B3	Machine Learning<---Multivariate Decision Trees
8021EC0E	Machine Learning<---Induction of Decision Trees
7EF1103F	IEEE Transactions on Neural Networks<---Perceptron-based learning algorithms
5E26543C	Information not present<---An Approach to the Design of a Linear Binary Tree Classifier
75C9402F	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Hierarchical Classifier Design Using Mutual Information
5C3379DB	Journal of Artificial Intelligence Research<---Iterative Optimization and Simplification of Hierarchical Clusterings
76A98920	IEEE Transactions on Information Theory<---Application of information theory to the construction of efficient decision trees
7B0B9374	Pattern Recognition<---A method for the design of binary tree classifiers
7F5076F4	IEEE Transactions on Signal Processing<---Connected-digit speaker-dependent speech recognition using a neural network with time-delayed connections
7768CF4C	Nature<---The recent excitement about neural networks
81133AA3	IEEE Transactions on Systems, Man, and Cybernetics<---Entropy and Correlation: Some Comments
7578DAD6	IEEE Transactions on Computers<---A Classifier Design Technique for Discrete Variable Pattern Recognition Problems
78B3ED63	Electronics Letters<---Artificial neural network for image compression
5C6DCBC7	Information not present<---Investigation and reduction of discretization Variance in decision tree induction
5E783680	Information not present<---Designing Extended Entry Decision Tables and Optimal Decision Trees Using Decision Diagrams
7AABBE19	IEEE Communications Magazine<---Vector quantization: A pattern-matching technique for speech coding
7C1E7537	Neural Networks<---Toward generating neural network structures for function approximation
773B2FCB	IEEE Transactions on Computers<---Quantization Complexity and Independent Measurements
0134379B	Journal of Research and Practice in Information Technology<---A Dynamic Programming Algorithm to Optimise Decision Table Code
0065238E	Information not present<---An introduction to multi-layer perceptrons
76F9B6AA	IEEE Control Systems Magazine<---Neural computing for numeric-to-symbolic conversion in control systems
6AEEB2DF	Australasian Database Conference<---A Bayesian approach to use emerging patterns for classification
814EA709	Neural Computation<---Review of neural networks for speech recognition
5E0031C8	Information not present<---Induction with randomization testing: decision-oriented analysis of large data sets
78660169	Fuzzy Sets and Systems<---Fuzzy sets as a basis for a theory of possibility
81724EA9	Neural Computation<---Engineering multiversion neural-net systems
7CA84199	Symposium on the Theory of Computing<---On the learnability of Boolean formulae
08862B41	Information not present<---Handling Constraints in Genetic Algorithms
5A3E4CCD	Information not present<---Machine learning: applications in expert systems and information retrieval
5B692AA4	Information not present<---Practical neural network recipes in C++
58B4F0CE	Information not present<---Information Theory and Reliable Communication
6CCA4975	IEEE Transactions on Computers<---Realization of Boolean Expressions by Atomic Digraphs
7F381B24	IEEE Transactions on Communications<---An Algorithm for Vector Quantizer Design
7AF22653	Biological Cybernetics<---AI-based approach to automatic sleep classification
07111DAE	Information not present<---Neural network training via linear programming
756F6D05	International Journal of Human-computer Studies \/ International Journal of Man-machine Studies<---Acquisition of uncertain rules in a probabilistic logic
750F4E68	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Analysis and Design of a Decision Tree Based on Entropy Reduction and Its Application to Large Character Set Recognition
7C816551	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Large Tree Classifier with Heuristic Search and Global Training
5FDF5638	Information not present<---Rate distortion theory : a mathematical basis for data compression
7F41D741	IEEE Transactions on Fuzzy Systems<---Improving learning accuracy of fuzzy decision trees by hybrid neural networks
79EF2564	Neurocomputing<---Ontogenic neuro-fuzzy algorithm: F-CID3
760F853F	Communications of The ACM<---On the conversion of decision tables to computer programs
7C352860	Journal of the Operational Research Society<---Fuzzy sets, uncertainty, and information
7B084F6E	Mathematics of Computation<---Applied regression analysis
7DD39493	American Journal of Agricultural Economics<---Linear and nonlinear programming
05413309	International Joint Conference on Artificial Intelligence<---An empirical comparison of ID3 and back-propagation
7DD1C12E	IEEE Transactions on Systems, Man, and Cybernetics<---Learning piecewise control strategies in a modular neural network architecture
768E8AB5	Information Sciences<---Optimal sequential arrangement of evaluation trees for boolean functions
7ABCC9F4	Electronics Letters<---Map image segmentation based on thresholding and fuzzy rules
7EAEDFB4	Neural Information Processing Systems<---Second Order Derivatives for Network Pruning: Optimal Brain Surgeon
001EAA8C	Information not present<---Genesis and OOGA: Two Genetic Algorithms System
5E34845D	International Conference on Machine Learning<---Incremental, instance-based learning of independent and graded concept descriptions
7ED0BECD	Information not present<---Decision trees and multi-valued attributes
7C099A8D	IEEE Transactions on Software Engineering<---A General Empirical Solution to the Macro Software Sizing and Estimating Problem
8018D365	Information not present<---Pattern Recognition Via Linear Programming: Theory And Application To Medical Diagnosis
755FF6C5	Machine Learning<---A Further Comparison of Splitting Rules for Decision-Tree Induction
7E4E17C6	IEEE Transactions on Information Theory<---Universal modeling and coding
5D2E0B4C	International Conference on Machine Learning<---Inductive learning with BCT
2CCB698C	Information not present<---A VLSI chip set for real time vector quantization of image sequences
7CCE0C4F	Neural Networks<---A connectionist learning algorithm with provable generalization and scaling bounds
781A8C69	Fuzzy Sets and Systems<---A complete fuzzy decision tree technique
803824A8	Machine Learning<---Learning with Genetic Algorithms: An Overview
7F906AF3	Numerische Mathematik<---Smoothing noisy data with spline functions
78782EA7	Soil Science<---The analysis of variance
78BD0691	Neural Computation<---Hierarchical mixtures of experts and the EM algorithm
073255CC	Information not present<---Feature Space Partitioning By Non-Linear And Fuzzy Decision Trees
7FC53E92	International Symposium on Neural Networks<---Optimal pruning of neural tree networks for improved generalization
5F610AA4	Information not present<---Divide and conquer algorithms for closest point problems in multidimensional space.
5BD9E774	Information not present<---An empirical study of learning speed in back-propagation networks
7C16D09A	International Journal on Artificial Intelligence Tools<---Data Mining Using MLC a Machine Learning Library in C
78D936AE	Journal of Computer and System Sciences<---On uniform circuit complexity
