7C85869B	Wide angle Earth sensor
7DDFA761	GPU Based Real-time Correction for Optical Distortions in Head-Mounted Displays
79E8A444	Enola Gay: an integrated modelling optical toolbox applied to a wide-field telescope
7AF6071F	Observation preparation software for LINC-NIRVANA
60C794E3	Sensitivity of ground‐based Cherenkov telescopes for anisotropics in the cosmic gamma‐ray background
0741DFAA	Quantitative estimation of the beam fast ion effects on MSE measurement in Alcator C-Mod
79444036	Investigation of aluminum wire-grid polarizers for visible wavelengths using rigorous coupled wave analysis
77435D03	Vision-based robot navigation and map building using active laser projection
7B4598CC	Role of upper-layer interactions in electron diffraction symmetries (reply)
80946937	Spatial correlations in the Gaia astrometric solution
6310CADF	Preliminary Three Dimensional Reconstruction of CMEs Using Solar Mass Ejection Imager (SMEI) Data
63D31CBE	The ATA Galactic Center Survey: SETI Observations in 2009
31B6098B	DOPPELTES RISIKO BEI NACHTFAHRTEN
21E3B2B5	Endangerment of Pedestrians and Bicyclists at Intersections by Right Turning Trucks
7614C090	The fringe and flexure tracking system for LINC-NIRVANA: basic design and principle of operation
76CD2068	Refracting Afocal Systems In Thermal Imagers
7E8F23D8	Evaluation of a fully 3D, big bore TOF PET scanner with reduced scatter shields
0BC4BF2A	XTE J1810-197 is Likely an Anomalous X-ray Pulsar
7A3886B1	The Keck-I Cassegrain atmospheric dispersion corrector
72CC151B	EUV Emission in Abell 1795, Abell 2199, and the Coma Cluster
8154D5BB	Measurement of in vivo anterior cruciate ligament strain during dynamic jump landing
61CC1F8A	A Survey of 3.3 Micron PAH Emission Using FLITECAM
7BE9CC28	CFHT's imaging Fourier transform spectrometer
76A49B88	Replicated grazing incidence x-ray optics: past, present, and future
59C50546	Comparison Of The Performance Of The SSRB Technique On The Siemens/CTI ECAT 921 And 961 PET Tomographs With The ECAT 953B
70C05560	Loop radiofrequency coils for clinical magnetic resonance imaging at 7 TESLA
032C1712	Attitude propagation from digital images
7842ED1C	Improved CT and MR image registration with the introduction of a dual-modality contrast agent: performance assessment using quantitative and information theoretic methods
03E1760F	Development of GRB optical flashes observation system: WIDGET
00A585A8	The Signal of the HIPPARCOS nominal system
0C471F11	Chandra Studies of New Galactic Ejecta-Dominated SNRS
6316A7A6	GLAST Launch Status, Microquasars, Multiwavelength Opportunities and Public Access to Data
0B815F08	The Chandra Source Catalog: Processing and Infrastructure
787CE301	Faint object 3D spectroscopy with PMAS
79129C4B	Shape reconstruction from a single thermal image
76764EDA	Flows in the solar atmosphere due to the eruptions on the 15th July, 2002
216EFCBE	AUGE - BRILLE - AUTO. BESSER SEHEN - BESSER FAHREN
6129B280	The Rosetta Fly-by at Asteroid (2867) Steins
61D4A546	Milli-arcsec Registration of Nuclear Optical and Radio Structures in the Seyferts NGC 1068 and NGC 4151
60730CDA	Exploring the Transient and Variable Universe with LSST
5832F126	Iapetus dark and bright material:: giving compositional interpretation some latitude
60132CD7	X ray microscope assembly and alignment support and advanced x ray microscope design and analysis
5F1AF911	Development of pixelated NaI(Tl) detectors for PET
048E63DA	Toward Earth-Like Planets
316534C7	Use of Virtual Reality for Space Flight
78B538E7	Interference patterns from circularly polarized light using a Michelson interferometer
7C454F92	A multichannel, high-resolution, UV spectrometer for laser-fusion applications
36E2867C	Instantaneous field of view and spatial sampling of the Airborne Visible/Infrared Imaging Spectrometer (AVIRIS)
7676BE19	Large field of view real-time three-dimensional imaging for ports
053DA492	Interaction between solar wind and lunar magnetic anomalies observed by MAP-PACE on Kaguya
7D900E48	Nonlinear distortion correction in endoscopic video images
08639DE2	Fundamentals of absolute pyroheliometry and objective characterization
7AC7E671	X-ray characterization of capillary system
31F51B8C	Science with Constellation-X, Choice of Instrumentation
769A2898	Diffraction and line shape of Fourier-transform spectrometers
80D2A068	Localization and Control of an Aerial Vehicle through Chained, Vision-Based Pose Reconstruction
5E9CCAAE	Design and analysis of Galileo sun acquisition algorithm
76C0AFB0	XBOOTES: AN X-RAY SURVEY OF THE NDWFS BOOTES FIELD. II. THE X-RAY SOURCE CATALOG
78480D59	High‐resolution X‐ray computed tomography of impactites
23FCC870	REGLEMENTATION ET NORMALISATION IN "PREMIER CONGRES INTERNATIONAL SUR LA VISION ET LA SECURITE ROUTIERE"
7E878A61	MUSTANG: 90 GHz astronomy on a 100 meter telescope
5FF80FE4	Design Approach for a Laser Wire and Wire Like Object Detection System (WWLODS).
782C3A8D	Full-color wide field-of-view holographic helmet-mounted display for pilot/vehicle interface development and human factors studies
035C2C10	Swift/BAT Instrument Performance and Status
769FAB09	MicroCT scanner performance and considerations for vascular specimen imaging
63B0A076	The Chandra Source Catalog : Google Earth Interface
7C19BB4D	Transient Gamma Ray Spectrometer Measurements of Gamma-Ray Lines from Novae. II. Constraining the Galactic Nova Rate from a Survey of the Southern Sky during 1995-1997
75B96A06	In Situ Cloud Sensing with Multiple Scattering Lidar: Simulations and Demonstration
75775165	Routine 18F-2-Deoxy-2-Fluoro-D-Glucose (18F-FDG) Myocardial Tomography Using a Normal Large Field of View Gamma-Camera
7F07722E	A sectorized beamspace adaptive diversity combiner for multipath environments
76639EF5	Development of an imaging lidar for aerosol monitoring using a wide field-of-view, high-resolution telescope
7773C212	Mixed sediment beach processes: Kachemak Bay, Alaska
0BAF02BF	The Ultraviolet Imaging Telescope: Past and Future Results from the Astro-1 and Astro-2 Missions
7BFD40C0	Optimized approach for microarray scanning
7F057C6D	An evaluation of haptic cues on the tele-operator's perceptual awareness of multiple UAVs' environments
7E53CADC	Looking for the first galaxies: Lensing or blank fields?
614FA879	A dual frequency tactical antenna
7C38EA8B	Microstructural analysis of secondary pulmonary lobule imaged by synchrotron radiation micro CT using offset scan mode
0F468E7D	Advances In Global Aerosol Modeling Applications Through Assimilation of Satellite-Based Lidar Measurements
640D8CF6	Long-life 3-axis satellite attitude sensing, phase 1
7DBC8B3E	Capturing Village-level Heritages with a Hand-held Camera-Laser Fusion Sensor
80FDC893	Dark Matter Searches with the Fermi Large Area Telescope
7675DC55	A method of compensating atmospheric background radiation
0B941A64	Observations of Near-Earth Asteroid 2010 CN141 with the Wide-field Infrared Survey Explorer
7BC3BE76	The PETRRA positron camera: design, characterization and results of a physical evaluation
08FFA5B1	Hard X-ray brightening of Ginga 1843+009 seen by INTEGRAL
776D01E9	Inclusion Of Sensor Noise In Radiometric Models For Generation Of Synthetic Longwave Infrared Images
77000219	Process engineering and failure analysis of MEMS and MOEMS by digital holography microscopy (DHM)
614D8396	Global distribution of column carbon dioxide and methane retrieved from observations of Greenhouse gases Observing SATellite (GOSAT)
809578E0	Effects of the element separation on the noise performance of receiving antenna arrays
7A1155CE	Image conversion in field-ion microscopy
7659854F	Models and algorithm for the calculation of the impulse response on IR-wireless indoor channels
01CF45C1	Instrumentation for the U.S. Naval Observatory CCD Astrograph
5D9874AC	Fast space-varying convolution in stray light reduction, fast matrix vector multiplication using the sparse matrix transform, and activation detection in fMRI data analysis
7EEE1B78	Radar observations of breaking waves and solitons at low grazing angles
7800ADB0	Visible Imaging Fourier Transform Spectrometer: Design and Calibration
76F65C2D	Three‐dimensional textural and compositional analysis of particle tracks and fragmentation history in aerogel
758A8B6F	A co-boresighted synchronized ladar/EO imager for creating 3D images of dynamic scenes
7AD49B74	3D sensor algorithms for spacecraft pose determination
05ACF84D	A Wide Field of View X-Ray Telescope for GLAST
75148B4A	X-ray observations of the Seyfert 1 galaxy Markarian 464
61EEDDD7	The Fundamental Structure of Coronal Loops
7A79E06D	The Mersenne-Schmidt - A three-mirror survey telescope
76B512F0	Trinocular stereo vision method based on mesh candidates
7593875C	Infrared Dynamic Scene Generator Using Halftone Reflectance Images
6245B520	Radar Interferometric Imaging of Near-Earth Objects
7B36BE9F	Electron emission characteristics of GaN pyramid arrays grown via organometallic vapor phase epitaxy
79FF328F	SeaWinds Scatterometer Wind Vector Retrievals within Hurricanes using AMSR and NEXRAD to Perform Corrections for Precipitation Effects: Comparison of AMSR and NEXRAD Retrievals of Rain
7D2D757D	Hybrid parallel-slant hole collimators for SPECT imaging
7AE6C098	Optical design of the UV telescope for TAUVEX
777CC65D	Design of a cophasing system for a space interferometer
7D01BD33	Optical system of the SOFIA Telescope
0288C3DE	Interstellar dust silicates unveiled through the scattering halo of GX9+1
2517C579	TRAFFIC SAFETY PERCEIVED
79A99D05	Panoramic night vision goggle flight test results
7A3ADF10	Image pre-compensation to facilitate computer access for users with refractive errors
05FC01C2	Recent resutls on crab nebula and Mkn 421 observations with tactic imaging element
01C4FE00	RESEARCH ON LASER ALTIMETER'S FIELD OF VIEW
61536481	Initial Results from the Chandra Shallow X-ray Survey in the NDWFS in Bootes
6362FC5A	XMM-Newton Proposal 02059101
79BFF7F8	Structured highlight inspection of specular surfaces
7BCEDB08	CCD Positions Determined in the International Celestial Reference Frame for the Outer Planets and Many of Their Satellites in 1995-1999
7714CBC6	SMOS CATDS level 3 global products over land
781E4500	Observing the reconnection region in a transequatorial loop system
7FAC2062	A collisional origin for the Leo ring
7CDBD2DC	Extreme Universe Space Observatory (EUSO): an innovative space mission target-oriented to the extreme energy cosmic rays and neutrinos detection
7CA2D64C	Three-mirror telescopes: design and optimization
7AD668BC	Adaptive convex filter in sinogram decomposition for extension of reconstruction field of view
62DABAA6	Recent Research at the JPL Optical Communications Telescope Laboratory
804EEB07	The High-Density Ionized Gas in the Central Parsec of the Galaxy
7EC69152	A study on assembling of subpictures with visual servo
76D5854F	General astrophysics with the optical terrestrial planet finder mission
7BEB9952	IONOSPHERIC BOUNDARY-CONDITIONS OF HYDROMAGNETIC-WAVES - THE DEPENDENCE ON AZIMUTHAL WAVE-NUMBER AND A CASE-STUDY
799D380E	Field Correctors for Wide-Field CCD Imaging with Ritchey-Chretien Telescopes
7E673A5B	Autoconfiguration of a Dynamic Nonoverlapping Camera Network
60126725	Calculating zones of glare and shadowless zones in satellite scanner surveys and optimizing the conditions of illumination
5CB5250B	Fast and Accurate Robot Vision for Vision Based Motion
62898386	New light on optical pattern recognition
5CC50A85	Artificial solar eclipse experiment MA-148
7B69064D	Design trades for next-generation UV/optical/NIR space telescopes
7BA7252E	Cold box breadboard for the IASI instrument
7CF9DFAF	Confocal microendoscope for use in OB/GYN applications
03577907	Surveying the TeV Sky with the High Altitude Water Cherenkov (HAWC) Observatory
635B588A	Modeling the Space Debris Environment with MASTER-2009 and ORDEM2010
768A8762	Nondistributed flight reference symbology for helmet-mounted display use during off-boresight viewing: development and evaluation
799FC657	Optical Engineering Of A 2 Meter Laser-Radar Simulator For Low Scatter Characteristics
75629C19	Far-ultraviolet imaging of the Hubble Deep Field-North: Star formation in normal galaxies at z < 1
7AA025A1	Tracking of a single cluster of closely spaced objects using one and two passive optical sensors
770E9C4E	Efficient imaging with integrated optoelectronics: I. Overview and some applications
59F0C1EF	Scanning holographic lidar telescope
605DDBDF	Brackett-γ Line Survey of the Ionized Hydrogen in the Galactic Plane
784DA147	Locating spilled oil with airborne laser fluorosensors
77F6FD4F	Diagnosis of vertical root fracture in endodontically treated teeth using computed tomography
7792358A	Zernike phase-contrast x-ray microscope with pseudo-Kohler illumination generated by sectored (polygon) condenser plate
7890335D	Design of DOI PET detector modules using phoswich and SiPMs: First results
0C46BE93	Chandra Observation of the Intermediate-mass Young Star MWC297
68195B9E	AMiBA: Array for Microwave Background Anisotropy
03DC2767	HST search for M subdwarf binaries
7701D31B	Development of a Fiber-Optic Based PIV System for Turbomachinery Applications
59C22F97	拡張現実感による死角交差点での運転支援 : リアルな壁透過表現は必要か?( サービス現場・日常生活に浸透するVR/AR)
80CA78DA	New AGNs discovered by H.E.S.S
76863627	Snow cover mapping over the Tibetan Plateau with MODIS and ASTER data
758C585F	Synthesizing metamaterials with angularly independent effective medium properties based on an anisotropic parameter retrieval technique coupled with a genetic algorithm
72FADE9A	Advances in interactive, holographic 3D displays
7F5C0A99	On similarity of echoes scattered from turbulence and discrete scatterers
7D3E8470	Techniques for removing nonuniform background in coded-aperture imaging on the energetic X-ray imaging telescope experiment
7AE0A8D7	Studies on recoil proton tracks in NTA films with the T ( d , n ) 4 He reaction
7CFD726E	Integrated binocular and motion stereo in a inertial navigation sensor-based mobile vehicle
7EA8D087	Prone breast tumor imaging using vertical axis-of-rotation (VAOR) SPECT systems: an initial study
787CE9B2	Applications of spherical panoramic virtual displays for flight simulation
7D599002	X- and gamma ray imaging systems based on CdTe-CMOS detector technology
75A525A7	Heavy ion escape from Mars, influence from solar wind conditions and crustal magnetic fields
8029154C	Retrieving canopy variables by radiative transfer model inversion - a regional approach for imaging spectrometer data
03E27384	WFC3 Thermal Vacuum and Ambient Testing: Calibration Subsystem Performance
78EB8993	Focal plane geometry characterization of the Kepler Mission
0976AA28	Measurement of the characteristics of the figure of instantaneous field of sight of a scanning survey system
76735562	Time-dependent multiple backscattering
765D1EBE	Characteristics of Pc 5 micropulsations as determined with the STARE Experiment
83CBF642	Construction and Testing of a Pixellated CZT Detector and Shield for a Hard X-ray Astronomy Balloon Flight
606CE4A9	Development of tunable spatial heterodyne spectroscopy (TSHS) for interferometry of extended targets
751A9F44	Two-dimensional granular Poiseuille flow on an incline: Multiple dynamical regimes
7AD098F4	Scintigraphy with 57Co‐bleomycin in the detection of lung cancer: A review of 268 well‐documented patients
7DF63964	Discovery of 413.9-second X-Ray Pulsation from X1722-36
79D3D9B4	Effect of display parameters on pilots' ability to approach, flare and land
61A7DED4	Studying Gamma‐ray Blazars With The GLAST‐LAT
0B94774F	The Effect of Velocity Aberration on ACS Image Processing
03814368	An Observation Knowledgebase for Hinode Data
6388B78A	Using location, bearing and motion data to filter video and system logs
7BD0A363	AMSU-B: a new tool for atmospheric research
6814651B	Observing and Cataloguing Nebulae and Star Clusters: Compiling the General Catalogue
040506D3	The Frequency of WFC3/IR Saturations
805D8B29	Systematic astrometric observations of Proteus
7CA33872	Wide field-of-view multichannel intersatellite laser communications
7978CDB4	A telescopic method for photographing within 8�8 cm minirhizotrons
098071BF	The MCELS Survey: Transition from Data to Science
623E1272	Effects of spacecraft reflections on RF interferometer position location accuracy
6406AA76	High-Speed Video Observations of a Natural Lightning Stepped Leader
7A10180B	Design of an off-axis three-mirror system with high speed for hyperspectral imagers
77D04B96	Water-transparency (Secchi Depth) monitoring in the China Sea with the SeaWiFS satellite sensor
754565C7	A method for improving the efficiency of myocardial perfusion imaging using conventional SPECT and SPECT/CT imaging systems
77C21164	Viewfinder based on a Galilean telescope system
75BDDA1F	Predisposed Visual Memory of Shapes in Quail Chicks
5BA9CF3B	Optimisation of noise equivalent count rates for brain and body FDG imaging using gamma camera PET
76C1AEFB	Design and testing considerations for high-speed (>10MHz) high-resolution (14 bits) high-performance video signal chains for advanced visible and infrared focal plane applications
78E480AC	Slit-Slat Collimator Equipped Gamma Camera for Whole-Mouse SPECT-CT Imaging
78CE9387	Surface roughness analysis of multilayer x-ray optics
8140DA38	On Barrier Coverage in Wireless Camera Sensor Networks
7E80D1BB	Investigation Of Multi‐Resolution Support For MeV Ion Microscopy Imaging
7683C898	A simple laser interferometer for wind tunnel flow visualisation
75221963	A coded aperture device for on-line imaging with megavoltage photon beams
0A6C457B	The Rosetta Asteroid Steins Flyby Observed by OSIRIS
7F31774F	Autonomous planning in time-varying environments: a case study
7A4C8111	High-resolution thermal imager with a field of view of 112 degrees
6044047B	Antarctic Iceberg Tracking Based on Time Series of Aqua AMSRE Microwave Brightness Temperature Measurements
7620CD48	Development of a simplified readout for a compact gamma camera based on 2×2 H8500 multi-anode PSPMT array
777B6216	Clinical evaluation and follow-up outcome of presurgical plan by Dextroscope: a prospective controlled study in patients with skull base tumors
7FC7656E	Dynamic tracking of moving objects in microassembly through visual servoing
2CCBB0E8	Searching for Optically Faint GEO Debris
5D4C7DBD	Distributed Read-out Imaging Device array for astronomical observations in UV/VIS
79B98B39	High-sensitivity (25-μm pitch) microbolometer FPAs
598E3324	The Influence of Surface Treatments and Surface Finish on the Fatigue Properties of Elastomers
7E44DF47	Fast and automated large-area imaging MALDI mass spectrometry in microprobe and microscope mode
05BDEF6B	An X-ray catalog and atlas of galaxies. (Fabbiano+, 1992)
0B3CF40E	NASA Releases Goldstone Radar Movie of Asteroid 2012 DA14
75DF05C7	Polarization and directionality of the Earth's reflectances: the POLDER instrument
5B211469	Chapter 16 Satellite-derived flow characteristics of the Caspian Sea
7A5E1B96	Coordinated pursuer control using particle filters for autonomous search-and-capture
7571F88C	The design for the laser detection and warning optical system
239C9638	AUTOMOTIVE ERGONOMICS. CHAPTER 10. INDIRECT VISION SYSTEMS
784F4E67	Fine guidance sensors aboard the Hubble Space Telescope: the scientific capabilities of these interferometers
5F9DB883	Distance Cues and Fields of View in Rear Vision Systems
609C8600	Fuzzy logic control for camera tracking system
24AB0262	Untersuchung von Verkehrssicherheitsaspekten durch die Verwendung teilasphaerischer Aussenspiegel / Safety implications of the use of aspherical external vehicle mirrors
7F587F0D	Measurement of the Landsat Thematic Mapper modulation transfer function using an array of point sources
7F302A07	P1A-6 A Novel Spline-Based Algorithm for Multidimensional Displacement and Strain Estimation
75262E7B	The ASCA X-Ray Spectrum of Arp 102B and Evaluation of Simple Models for Its Associated, Metastable Fe II Absorber
05E02CE5	Energetic neutral atom emission during Cassini's approach and orbit insertion at Saturn: source strength and dynamics
80C2E3A1	The information in the direction of image flow
60604743	Gamma-ray bursts, their high energy emission as observed by EGRET
03976A65	Dynamical Properties of Distant Field Galaxies
7B92D45E	Vehicle tracking across nonoverlapping cameras using joint kinematic and appearance features
613AE0CF	A new Copernican revolution in astronomy - Ultraviolet astronomy with the satellite Copernicus
235559DE	ANDERS ALS DIE GROSSEN
793601A8	Multidimensional spline-based non-rigid image registration
5ED8DF7F	Prompt γ‐Ray Emission Spectroscopy with RHESSI
63CA4122	Velocity pulses in a sunspot with lightbridges.
7C456CAE	ATS-6 Radio Beacon Experiment: The First Year
7EFBD5D3	Enhancements to the Southern Pierre Auger Observatory
7F7876E1	Fall detection using multiple cameras
78D1D254	Lightness contrast in CRT and paper-and-illuminant displays
792946F4	An automated image segmentation and classification algorithm for immunohistochemically stained tumor cell nuclei
10CAA880	Retrieving Broken-Cloud Optical Thickness Using Cloud-Vegetation Interaction and a Two-Channel Narrow Field of View Radiometer
7A9B3DD2	Grazing Incidence X-Ray Microscopy Of Laser Fusion Targets
7FC7D54D	Low-energy neutral-atom imaging
0935A6EA	Environmental Dependence of the Evolution of Early-Type Galaxies in Clusters at Intermediate Redshift
7BAAF0F6	Imaging through light scattering eye media: letter identification
75442B1A	Metal artifact reduction in cone beam computed tomography using forward projected reconstruction information
0F24B5CE	Investigations of substitutional impurity segregation to the 5(310)/[001] STGB in FCC metals: a EFTEM and HRTEM study
7A5A234B	Sensing Error for a Mobile Robot Using Line Navigation
7580054B	Measurement of three-dimensional velocity profiles using forward-scattering particle image velocimetry (FSPIV) and neural net pattern recognition
771B6011	Target Acquisition Flight Software For The Goddard High Resolution Spectrograph For The Hubble Space Telescope
7AA24D4E	The effect of auditory and visual distracters on the useful field of view: implications for the driving task
60739E50	System architecture of a SIMD image processor optimized for morphologic processing
7D174267	Statistical cue integration for foveated wide-field surveillance
807A71B4	Real-time photogrammetric stitching of high resolution video on COTS hardware
5B2DEB2D	Multichannel radiography employing scattered radiation
7B196DC4	Optical design of two spectrographs for the Canada–France–Hawaii telescope
7A050CD7	Comparison of Two-dimensional MR Digital Subtraction Angiography of the Lower Extremity with X-Ray Angiography
11370441	New SuperDARN Radar Capabilities for Observing Ionospheric Plasma Convection and ITM Coupling in the Mid-Latitude Ionosphere
7637A647	Design of null tests for an F/0.8 concave oblate elliptical surface
11042AEF	Investigations of the Venus plasma environment with the ASPERA-4 experiment on the ESA Venus Express mission
7B3B6FA2	An extraordinary new celestial X-ray source
5E78101B	Intelligent Control for Unmanned Vehicles
7C244682	Active visual Perception for Mobile Robot Localization.
75BF8379	The Ion Mass Imager on the Planet-B spacecraft
78BBDB24	The Herschel/PACS 2560 bolometers imaging camera
7524BCD5	CT of the acute abdomen: gynecologic etiologies
093E409F	Thermodynamical properties of granulation in active regions.
5A22DAE4	Experimental study of the detection of pedestrians by the drivers of mobile machinery
10093272	TGRS OBSERVATIONS OF GAMMA-RAY LINES FROM NOVAE. I. LIMITS ON THE POSITRON ANNIHILATION LINE IN FIVE INDIVIDUAL NOVAE
7B61AC3B	Mauna Kea technologies' F400 prototype: a new tool for in vivo microscopic imaging during endoscopy
5B24CF16	Plasma irregularities in the duskside subauroral ionosphere as observed with midlatitude SuperDARN radar in Hokkaido, Japan
02C01E54	The role of CME dynamics in production of -10 MEV protons
103DC29F	Calibration and Validation of Images from the Mars Reconnaissance Orbiter Mars Color Imager (MARCI) and Context Camera (CTX) Instruments
800DF65F	Precise calibration of CCD images with a small field of view. Application to observations of Phoebe
79791E6F	Estimating contributions of turbulent layers to total wavefront phase aberration
01CD7E23	Soft X-ray structure of the Coma cluster of galaxies. [0. 15 to 2. 0 keV]
7B6E49CF	Using MODIS with AIRS to develop an operational cloud-cleared radiance product
628977EB	Several Byproduct Targets of Photometric Observations at Modra
79EE7D98	Evaluation and compensation of fluorescence for spectral imaging of art materials and historical documents
01D4DA00	Non-contact spatially constrained optical scanning methods applied for depth, width and gap measurements
78DF799F	Singles-prompt: a novel method to estimate random coincidences by using prompts and singles information
752E3E2B	Image Display Parameters Of Dome Systems
755E6CAE	Adaptive optics in ophthalmology: current techniques and new methods of increasing field-of-view of fundus cameras
76F402F8	Current status of the Hobby-Eberly Telescope wide-field upgrade
7BB950B1	Hartmann wavefront sensing of the corrective optics for the Hubble Space Telescope
7A394A2A	Appropriate training area selection for supervised texture classification by using the genetic algorithms
756D2704	Rapid Acceleration of a Coronal Mass Ejection in the Low Corona and Implications for Propagation
764A64F6	The acquisition, guiding, and wavefront sensing units for the Large Binocular Telescope
77FD9CC7	Format-Filled Detail Photographs with the Kowa RC-W Retinal Camera
5928F220	The optimum scheme of a static Fourier-transform spectrometer based on birefringent crystal
7A3707A0	Efficient Imaging Strategies for Next-Generation Radio Arrays
79A4B639	EAGLE MOAO system conceptual design and related technologies
768F0139	Coupling MOAO with integral field spectroscopy: specifications for the VLT and the E‐ELT
6312CB02	A Deep Spectroscopic Survey of the Virgo Cluster Core
7955E85A	Design and research of zoom optic system applied in micro-processing using 248nm KrF excimer laser
772087EC	UARS Microwave Limb Sounder HNO3 observations: Implications for Antarctic polar stratospheric clouds
7A33FB6F	Computer-aided modeling of beam propagation effects in diffraction-critical spaceborne instruments
796C6E2D	Correlated observations of the equatorward diffuse auroral boundary
7CB92789	PRIMA: study for a dual-beam instrument for the VLT Interferometer
7990F62C	Passive and delay-free wavefront correction using photonic crystals in receivers for optical free-space communications
602D4B81	NICMOS Focus Field Variations (FFV) and Focus Centering�
79D046B4	Real-Time Visualization of Domain Coverage by Dynamically Moving Sensors
04E57815	First observations with the ROTSE-III prototype telescope
7B78CBF5	CHAMP: camera, hand lens, and microscope probe
78A68560	VI: FUTURE CONCEPTS: Attitude and Drag Control: An Application to the GOCE Satellite
81289C01	Variability Of CT Point Spread Function Within The Field Of View
5DC900CE	Concomitant lower thoracic spine disc disease in lumbar spine MR imaging studies
7B6AD68D	Real-Time Imaging of Biological Tissues using High Resolution Line-Scanning Optical Coherence Microscopy
76AE58E2	Lobster eyes as X-ray telescopes
8045DB32	Parallel MRI Acceleration Using M-FOCUSS
762EFEB5	Measuring the Low Mass End of the M•—σ Relation
78AE9B22	An Ultra-Low-Power Contrast-Based Integrated Camera Node and its Application as a People Counter
79F50CA8	An active wavefront sensor to make feasible adaptive optics on 100-m class telescopes
79B81E13	Finding Earth-size planets in the habitable zone: the Kepler Mission
5F4D66C5	Loitering Detection Using Bayesian Appearance Tracker and List of Visitors
811BB0F6	EO-1 Advanced Land Imager stray light analysis and impact on flight data
0DDBB668	An updated search of steady TeV γ-ray point sources in northern hemisphere using the Tibet air shower arraySupported by Grants-in-Aid for Scientific Research on Priority Areas (712) (MEXT), Japan Society for Promotion of Science (JSPS), National Natural Science Foundation of China (10675134, 10533020) and Chinese Academy of Sciences
0C218272	Gamma-ray Background in the GRATIS Balloon-borne Payload
5CDD974D	SICHERHEIT VON OMNIBUSSEN
79E64356	Manipulating Digital Holograms to Modify Phase of Reconstructed Wavefronts
7C52E011	A high resolution gamma camera based on a multiwire position-sensitive detector
5F39D999	Accurate image reconstruction for DOI-PET systems and its implications for the development of economic, compact PET (ezPET) systems
7A5B9791	Lessons learned from the design, fabrication, integration, and test of a cryogenic IR spectrometer for ground-based astronomy
80F1278C	NWCSAF AVHRR cloud detection and analysis using dynamic thresholds and radiative transfer modeling. Part I : Algorithm description
751B5D53	Direct-write electron-beam lithography for submicron integrated circuit fabrication
774FB7CE	Mathematical formalism for designing wide-field x-ray telescopes: mirror nodal positions and detector tilts
763B4D7F	AFIRE: fiber Raman laser for laser guide star adaptive optics
045248A3	Tests of Imaging with Lobster-Eye X-Ray Optics and MEDIPIX2 Detector
7DB80126	Photometric distances to young stars in the inner Galactic disk. I. The L = 314$^{o}$ direction
086BAD2A	Infrared sensor system performance simulations
75A3FF4E	Acquisition of the pulmonary venous and left atrial anatomy with non-contrast-enhanced MRI for catheter ablation of atrial fibrillation: Usefulness of two-dimensional balanced steady-state free precession
7A54FABE	In situ x-ray imaging of nanoparticle agglomeration in fluidized beds
7D8E236C	Method for the focal plane determination of microscopic objects
603BCD32	Gemini North Laser Adaptive Optics Performance from First Science Data
603A7CF3	Early Results from the Murchison Widefield Array
7A52172C	Experimental retroreflectors with very wide field of view
751DE24B	Layout and packaging of the MOPITT instrument
7F8A0F03	Investigating the potential of the Pan-Planets project using Monte Carlo simulations
614342B9	Status of the Integral Field Spectrograph for the Gemini Planet Imager
6B088CC0	Hard X-Ray All-Sky Imaging with BATSE/CGRO
7E279438	A 4-meter wide field coronagraph space telescope for general astrophysics and exoplanet observations
79AECB41	Lyman-alpha Emitters and Lyman-break Galaxies at z=3-6 in Cosmological SPH Simulations
76147E8F	Bioethical blind spots: four flaws in the field of view of traditional bioethics.
5A95DD1C	PET imaging with [ 11 C]methyl- L -methionine for therapy monitoring in patients with
5934A0E9	ORNL/IAT ARMATURE DIAGNOSTICS DEMONSTRATION TEST REPORT: PART TWO: BENCH DEMONSTRATION
787C9AEE	Imaging spectrometer trade studies: a detailed comparison of the Offner-Chrisp and reflective triplet optical design forms
5EFE940F	Observations of the Monoceros/Rosette nebula with the HEGRA system of IACTs
805E3FB1	Differentiation of gastric ulcers with MDCT
0BC0C150	Study on target recognition probability based on matching algorithm combining gray and template
487F0D02	New COMPTEL gamma-ray source (GRO J0516-609) near PKS 0506-612/0522-611: first evidence for
74C3444E	3D performance of a small diameter positron emission tomograph for scanning small animals
04F5B9A4	Wide cusp/llbl ground observations by twin high-latitude auroral monitors.
798D254A	Mri measurements of T1, T2 and D for gels undergoing volume phase transition
6011363A	Design of the Focal Plane for the Pleiades HR Instrument
8203191D	Diameter determination of Avogadro sphere #1 and #2
122CF749	Retrieval of the column abundances of global carbon dioxide and methane from Greenhouse gases Observing SATellite (GOSAT) observation
80B790AC	An Efficient Guide Stars Classification Algorithm via Support Vector Machines
779BE069	Monte Carlo modeling of the light field in reflective-tube-type absorption meters
02A31D26	VIMOS commissioning on VLT-Melipal
78B4D1F4	Modeling effects of terrain and illumination on visibility and the visualization of haze and aerosols
609C6C7D	New X-ray transient IGR J17269-4737 discovered with INTEGRAL
7B781CDD	Electron transmittance characteristics of MCP ion barrier film
795734FD	Miniature imaging devices for airborne platforms
63E7032B	WF/PC2 Cycle 4: Photometric CAL Monitor: Fields
0339410D	Shorter contribution Using cloudy AIRS fields of view in numerical weather prediction
7F692BDC	Collocated interaction with flying robots
75B53091	Bayesian statistical inference of airglow profiles from rocket observational data: Comparison with conventional methods
