80DCD6AC	IEEE Transactions on Applications and Industry<---Learning from hotlists and coldlists: towards a WWW information filtering and seeking agent
75F71181	IEEE Intelligent Systems<---Lycos: design choices in an Internet search service
7F78C773	Journal of the ACM<---Authoritative sources in a hyperlinked environment
5E0D5C52	International Conference on Neural Information Processing<---Automated Text Categorization Using Support Vector Machine
05D00BAD	Conference on Information and Knowledge Management<---PSUN: A Profiling System for Usenet News
7CA9CE94	ACM Multimedia<---VisualSEEk: a fully automated content-based image query system
592999FE	The Vldb Journal<---Merging Ranks from Heterogeneous Internet Sources
01D719E5	Information not present<---Information retrieval (2nd edition)
58C54FD4	International Conference on Management of Data<---The Efficacy of GlOSS for the Text Database Discovery Problem
6EDC6A29	Information not present<---A machine learning architecture for optimizing web search engines
6BBF6F51	Journal of Visual Communication and Image Representation<---An Adaptive Agent for Automated Web Browsing
7FDED940	Computer Networks and Isdn Systems<---ParaSite: mining structural information on the Web
7FFB2336	Science<---Searching the World Wide Web
812AF240	Symposium on Applications and the Internet<---Improving category specific Web search by learning query modifications
80219681	Information not present<---Text Categorization with Suport Vector Machines: Learning with Many Relevant Features
75CAEAE1	Computer Networks and Isdn Systems<---The connectivity server: fast access to linkage information on the Web
80835EE4	Information not present<---Building Domain-Specific Search Engines with Machine Learning Techniques
8136218D	Human Factors in Computing Systems<---How to personalize the Web
7732CCC0	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Improving automatic query expansion
0251D771	Information not present<---Knowledge integration for structured information sources containing text (extended abstract)
712A3A67	International Conference on Data Engineering<---Self-adaptive user profiles for large-scale data delivery
7B2E5EC6	Computer Networks and Isdn Systems<---The anatomy of a large-scale hypertextual Web search engine
77F4CC61	Symposium on Principles of Database Systems<---Regular path queries with constraints
7605D938	ACM Transactions on Information Systems<---Experiences with selecting search engines using metasearch
072612B1	Neural Information Processing Systems<---Using sparseness and analytic qp to speed training of support vector machines
588B7E3E	International Conference on Machine Learning<---Using Reinforcement Learning to Spider the Web Efficiently
775CD7AD	Communications of The ACM<---A public library based on full-text retrieval
812AA544	International Conference on Acoustics, Speech, and Signal Processing<---A hidden Markov model approach to text segmentation and event tracking
0285EDEA	Information not present<---Information Extraction Using Hidden Markov Models
79988F59	Computer Networks and Isdn Systems<---Dynamic reference sifting: a case study in the homepage domain
