7EBBBCAB	7CF95A36 7FBF1715 814B5700 7D81ED4B 7557FEB8 78010A65 7CD99DD2 80B916E6
7E6028BD	7E2F0E9A 7D6CA186 0A597791 804BB420 758CEAB5 0D212BEE 81627C68 7D8B0037 75BB9E40 592BFFF8 76EED4CA 7CA9801E 782A8D91
80A27F46	6A238E8A 7E580B2E 76E0C500 5E90A135 81627C68 800FE3B1 7D58E42C 76EDC315 5A97D274
7B50C386	7FC275BB
80888067	0A194A7F 0604957F 086E967F 5B7BF45F 8072485E 815772F4 59F67E51 76E0C500 01BF8692 7902C4CE 5CEB8838 5E94FA61
5E1963AE	5CEB8838 79808B05 59DE194B 7CE64129 7DB8B5E5 76E0C500 7B34D8AC
7F87B596	7D58E42C 7E4BB915 8015182E 7FB99238 788AE675 78AB224D 073A7D61 7959A514 75620C89 7DD55259 7AE4DC97 6A238E8A 7DC456B7 80F4C40D
813E3E38	58B42CAA 76E0C500 7CE46771 7F2F7EA7 81169171 5A97D274 7E580B2E
772EBFC6	783C499C 77F52D6A 02C2E980 02009FA0 7680867F 118C3358 78AB224D
770FC222	5E1963AE 77F76B9E 7FCC0513 7C3C7FC9 0334A7C9 5AA26CF4 76AE9912 7F116C1B 779BCEE7 7DB8B5E5 80D42660 5867BE86 757730B1 798B2FD2 772E4A5D 5C4CEB6E
5D6F6AFF	7CDCF9EF 6B211C5D 81B996EA 795134F1 80E6F095 79F9C3AA 08A34A2D 7B49D5A6 7BB46F64 7E24DAE2 7CAAB9C9 7E3E8CD4 735414EA 7CC5F331 5F4F952C 76A7159C 7646DB9C 788C2F9A
7C12138E	7C367324 752A534E 7769E965 797982FB 80BD5A0C
7EAB3E5B	7D800B83 7F28ADF5 7F42644B 76F4D63B 7B0074DD 802CAB2E 813FA325 5BC4F37F 8137FF80 74BCCD62 80928BCB 7F0CEC4B 7BD57A51 7E92BB19 5E5FEE08 7CEE0C05 8044D090
7F793842	7FBF1715 7CD99DD2 81627C68 7ADD1BB8 7D1A7F15 7849ABA5 814B5700 80A52097 79625770 0457A8BE 7CF95A36 75F4010D 814F9082 7E81EFEA 7D466127
73856B33	76E0C500 7E4BB915 5CEB8838 7E646DA5 757730B1 76DEA59F 7B34D8AC 6F420EC1 79471849 7959A514 05154BF0 780CB5E8 7819E481 0310BB53 7E8021CF 80A0EC9D
80158EB2	7D42B898 7FE10D24 7FDB31C0 81660DD8 7ECADE30 7369579E 5B7EE3CB 05D77D7A 7EAD307B 7E11655E 7D4822CF 7C72E042 80C1589A 5B4B4E32 5A4E5479 5933B039 7E580B2E
5AC68651	8010CA74 815C5EB8 58EFA7A7 7DDF33D1 73F7C5CE 80060923 8170FD77 5FCD3383 7D5FF540 5C143C1D 81627C68 7F87B4D2 05F4834D
814D046C	7E42F722 7F6C724D 80EA18FA 80F2D1E8 78C1E810
7E055BAF	7E3B3D5F
7E658C9B	77879312 778CEFB6 8548F409 8212393D 81627C68 5CEB8838 7BBD9627 79808B05
5A196453	7F034664 7E0570DE 7E646DA5 09895537 7EF25F09 7E4BB915
8072748C	7D820034 7FAC79E3 7C8E98BB 7D24F6D2 8015FE7C 7B81AB61 7D9D0703 0884FA15 804619E1 7EFC003F 7D399286 7DF67483 8060DDD1 5DA0D97F 7F1B3290 8095FEA8 7521B215 7D636B1B 7DF6CDDF 76AC33B5 7FB0F30E 7CE9D133
80021BC8	5E90A135 5CEB8838 7D29F0B0 75D5A653 8220AF6A 7530D118 7DFF860B 80E14CB6 772EC029 7CE46771 7E9FBD72 77D64CB1 80A0EC9D 7F3668FA 58B42CAA
6AABF3FD	7E2F0E9A
78C5951B	5B1943A0 764B37A5 7E9657B2 81167EB1 58DC1C26 5A7674BD 61116E67 5A07CAB0 7CD41288
80E72FFA	7CE95904 7CE9D133 7E80F917 7825957B 631E0408 7E177952 7F1B3290 815A8373 7E192CB2 7FE347CB 7D1D1375 7D399286 6D40A6B4 7FFEC51A 6AE9DCC0
