5A0F947D	79B42731 7BA0B54C 7B7A06EC 7528ABF4 78F61064 79A0E20F 764E15E6
7D1E5F28	7E31A781 714D18A6 0620E40A 7F408613 80885EF0 804050FD 7EA65BA3 8124810C 7EBBBC30 7DEC1025 81258643 7C076C39 79A13A92 7D7DDD11 5C5A6FBD 0B4AB0B0 7DEB062E 1538805B 76430CE4 7DBC3C41 7E14D5C6 77C0AF1C 8019F38B
767BC159	7C2938F3 69743288 5A11D0AB 7F57A85D 6EC02D59 7B3AD593 8027D30B 7E8AA98D 7A7F8306 775B9CFA 80635CB0 7DD79ABE
7D5DE0F3	7B009C03 7C3A9678
7CEDBA3D	7E3E790E 6E7452C0 723EAB8B 80BAD468 7E46CE19 78804757 7BD15E68 7B471F03 037B2173 5C737A4B 5E685016 088A5277
735AD30E	7FB2C822 0C3F5344 7FBCD929 5E7AC873 81008D6D 160AC85C 58C3D63B 5C4A3B05 75649B03 7B5E27A0 76A2BBDB 737201D1 783CC859 7E4FFA54 7A668CAD 7A151686 6D6F9D82 7E580B2E 75B57C71 7617F4C0
7F650888	5EB3F2E7 7D8C364B 81A4E8BA 7F382435 7E4D2165 7EF1277D 76F0D421 7DC4B242
80E0AE00	7ABC6362 7E71F9A2 77F48154 7D4972CA 7D80FD7E 7913BE59 7C7F1A3C 7D0C9C0B 7E90B2ED 7F95AAE2 7F98AD69 5BFFEC57 750BF6DA 78B01195 7B00A455 7B87890F 03C528B4 809CC8B0 6E10DF7D 81E6AFC7 7BA80CD2
7E0A8436	7D0CE7A9 0627A5E0 7BB46D4A 767C9E32 7CEDBA3D 7D347B23 6E7452C0 797504F8 5F8503CA 768C4B41 59E48D90 7E3E790E 74551910 807619C4 088A5277 01C0903E 80E30DAA 7BD15E68 7DE9FD8E 7B100FF3
5F118A7D	6CA849DF 5E9B16CA 7EE3758F 71ED4D74 7A8151E0 7DA033D8 7926BEEE 75D02783 0C2E034E 7FEC3BD4 7F16B800 6E3A87C0 7F6E9235
806F30D4	85A39783 7717557C 5B428E16 06A4E1E1 7F2C749A 59816448 7D99CFD6 7E03675D 80F25CAF 76B5B132 7DC2EA87 59B5DB67 6CD258DA 598D8BF5
78BF81AC	6E4AF380 780FA0E2 7EF18B2D 8128974D
7D5BBDEA	80DF0459 0B4FEFA3 5D4E0BCB 8102EBCB 78739C5C 7DB7C562
7E71F699	5E5A03FB 7CE90288 7EF51A20 5F51BB80 77EECF9A 7FBD9D8C 772F8DA7 7E18B00E 7BBD010E 812ECEC9 5C2ADC26 7D8256B2 806FE30E 803B522C 5E2BFC27 7A2AB254 7DE4A15B 7C6CA9D9
7D3EECA9	7EF0EAB5 5EFC2D8F 7AC6CC26 81E8FAB3 7E41D69C 7B8BDAEF 01A2D418 7EF87597 7E61E8F3
7DA24C52	7F889CB7 0709976D 7E46414D 7F19368C 78C40D8E 78A40AE0 8009CD62 7C85BA28 81D57AC0 76CCF428 7A14D407 750A6417 76560617 7F322B79 78698459
7F055E1D	5852FC1C 76FE0AD5 5ECDF34F 7DD564A1 777F0954 7E0E8220 01E0E94A 7F9ACB0E 5AC8A799 803824E0 5FBDB851 8088FB89 5D2DA53A 7D108A30 5EF4DB3A 5BC2A477 7E84E19E
7CF29DD9	8021D959 7C3BBD21 805B3FE9 0AA6C389 7C1DE404 81434D80 7AA269BD 5FB67D0D
816A0179	1401BBF8 8129E59D 76CC8125 7DB663BC 78069588 0877CB6D
5EDAF54B	799095C1 7A0D9C1C 79934375 7D0C4098 7E4AF57E
806C0367	7DA92AB3 816189BB 7D8DAB40 5C8F4AE2 81141E7D 1363CA11 80DFA17D 781CA983
8109F309	0134A6CB 7E23B31B 80C19442 8022A2A0 7FCB00D2
80D1B38F	78BC68DC 7DC15D5B 80269317 7ED5DEB8 7BFA951B 7D2161D6 80FB9D38 80D14208 7F578F4E 7E25B72B 7D60D608 7E520B64 7B367E09 77AE5EC3 7FDD05CD 809807E0 809B8818
7D4E969A	75D24DE2 7F195285 5F779CE6 7FA654EF 816F954F 59CCABD9 7FEA26A6 7F89ACE4 65C16363 7D373674
096EA276	59DBA220 76DDD6FA 8020C072 7D39651D 7EA48557 7E56AC7B 814E59CF 1469D573 58AA69B8 7FC70FD1 79A9DB8D 79F37922 78DA4ABC 77FE1B6E 7F7BE445 80CE6967 0719F722 7D00F90F 80BAAD8D 5CB38498 7F43B895 80BB7114 8103D1C0 7A0630AF 80607B35 090BBE56 7E768B63 7D097D25 7D56F4E8 5D11154A 7C597380 7FE1448C 7E7C1284 0C207A23 7D7CD3DA 7EB8FFF8 7FBFEF23 7D9BAE65 76385DC8 756D5399 7DD07D88 0BCA8C90 02AA02F6 80782DAF 00CC1680 80B691F7 05EAA76B 7EE8C0D4
803E7D97	7A24E429 7FE65276 0101A325 7AB00CF2 764CCB7E 7FAC5D0B 756DDFD5 80A98DC6 7FA21AE9 7D0FCB60
8048903D	7E3EEB48 7E26BEF7 7EF41788 7674EBC2 7AE2C3B9 7F0BC082 8042E2C3 7D276DE3 094A577C 7944BAAD 7F6ED7BE 803FE428
7D270227	7E6C2054 5856A6D3 7F6A58A3 80D02A62 85B5DD30 7E269FD4 7FE7686F 5F43DD53 04377D2D 7C7E8D19 81EC0F5A 7DE3DED4 0310A698 79CEC395 7F1545FF 7FDDF61C 800702EB
7DB7E31C	80C6B593 791CBBC8 7533E2D5 76542C38 8531E574 7D9A75E9 7F5F279A 7741FC4B 780B691B 801E3D88 7E9CCF64
81535121	7D50079E 59F72122 7A352B5A 7DF3014C 76B72F74 7655F650 7B656D0D 7EB5D061 7DC3B7E4 04561FB0 7F59815B 77F6C5D7 80E57DC5 7D6932A5 77636DDD
58D1CD49	7CF1590F 5AD465D1 5E75494A 80D7C1CF 5E924F20 7FB231C7 7FE07966 81A6DCDA
809CC8B0	7A7783E6 6C3F3372 78DFCB75 1045603D 79B885ED 78931A45 7EF4A7F4 037F6440 5A47B9B8 094615D1 77A92203 7B00A455 7B2C1817 80A79BEF 5ECAF0A4 77B3AE86 7662AF26 7ABC6362 799212DE 76248C24 79CE2F60 7D80386B 802916A6 7533A7FC 7AA1CC4B 5A925212
6C2AF33C	8174BA42 7EE8E6D3 7F403065 7AEF04F8 04DDFFE4
7D72BB05	5E91E43D 7F745D60 71AF384F 7C87B015 595DAE8E 5B154D34 78D9D408 80A5A6D0 78A15025 7F545C4A 78B6B029 80CF1985 83D658CB
7E420589	5AA5C48D 81316FB8 812E4669 7EB85414 7828C575 80DAD72C
7FBF550A	7C46A706 75FD7F05 5BC7A293 8085FCA7 7AD7A163 80340D08
7EC71405	7640D1AC 7E5E8D29 78D07C05 599A5AA4 5F3322BF 05EBA190
7E14FFA6	7D843183 7DEFFC7C 7F1B946E 7F1AF512 7FF38FB2 5CD66F0E 7A6984B4 736679C3 5D873EBB 764348DB 860D1C15 5D40ACD8 64FEB6C3 5A8F5856 7D781C9C 7980AE89 5F38ACD5 77007EF5 7CEDBA3D 690A8F7A 041A017A 7EEC4352 5AEC2871 04DF975E 764BFAB4 80CD6DE5 7E5ACEE9
763AAE04	5E0A728D 7D140570 7F83D2C9 61B1A771 78C1161C 5E4C7262 77215BB3 791382F3 7B1FEC1D 801E00D5 785CF07F 75F4B321 1045603D 06942564 8127681E
804A6EDD	5B96A724 80106178 80944E57 7EE388A8 810F43C5 7CE86088
8167511A	7CA9801E 7E32D547 7C42314B 7CC6E867 584257C1 7DEEF6ED 80797859 7D53B570 8073AE72 7ECE81CE 7E9ACCD5 786B54D3 7E5716BF 7F8D5EE9
7E683BCE	013C2D4A 7E87BC6D 5BE482C1 736679C3 81556260 77375D7A 5D866490 78A83B1E 797504F8 7DEF3F72 5EAEAF38
804F7435	7EC32725 79199B7D 77B7BBDD 7DD5C025 7E5FDAE1 80F8BABC 7ED89A6A 7854426F 85B5FC52 77494995 58378BC0 5BDDBA8B 751D17CE 75589214 7E5A6B51 0B231595 06083041 7CF907B3 7556F9F3 7EE35DEF
7D822165	7E242C15 073A86B2 58F748CD 7CE92DBE 7812EE3B 5BB50DBB 7AFAC7C0 7760A022 7DE54F1D 77871BBA 7E906DC5 5CBD63DF 7AD937E3 85A6AFBD 808843AE 5B31E5AE 7E12AF54 7A2BFD3D 7F3441E9
7F97C756	777F0954 7DA209E8 7E9036B3 7E94BEC0 7EAEE5BC 59541F96 7D6C8C68 6B773F53 80AE841C 595DD96A 8084CCE1 80715031 7FCBA353 7FE4B19B 7F53A905 7E3F2890 7EF6F15A
83595ED6	7A4E88DB 776493FB 78A7B979 7C6CC54A 7FFD4CFD 7FDF4462 03724336
7F059893	7ACDE861 808E7350 7EFD4BC8 7CECDB78 7641518A 7FCF2920 1045603D 5AF0A3C9 7472F0EF 5A4984A5 816C7F01 773878D7 7DC7C77D 648CC438 85B414C6 80388312 7DEDD460 0866FD82 80F5392A 7D6444FA 81362580 8156CFB0 7B3A68B5 596255E5 81948BC2 797504F8 7CEDBA3D 0BABAB4F 73513F28
01DE6398	814ABB06 76A894BC 796D84F7 76EC3968 7801F5C4 753E618B 7A05D5D8 77E78DBF 7EFB18FB 7B00C129
7E3A1BEC	7F3D2FB0 5D156F44 7F6DC140 7859692E 58FE9DF2 76A479F4 7F590631 5FC578C0 76777764 7A6135CB 81CE39BC 5DF1B61A 7E4B9483 7D8F15D0 03FF9C77 7532FDF2 01215E7D 0B0BAC8A 75A13D3A 75272119 788F5081 7D56F9DF 781E0A95 7D4A06D3 7EE719F8 7A1BFB47 7FA2CB38 04EB0E5F 5A1072B7 5C4C1BC7 7FC2E26E 79E84D69 7F336892 7FC9497C 803279BE 7EB121E0 0A7F07FA 7E407524 5BF5A472 7B226D91
7789DFC4	7B43CAB2 7EE02FF0 80B252D7 7F786B85 7BB2627F 7BD84D9A 8017EAB1 771BCE40 8002A696 81000F2D 79E89BF6 8038714D 7FDA6C6C 7967EB5F 7E31641C 7F00A45E 7D6C1D0B 7CF726DC 7E6655E5 801DA46D 8083E06E
7EF0D746	79BB0B82 7E80DC1D 755554B5 7CF04AE7 5918E2F0 7EC4F2DB 76F36E04 81211C1B 7F9F63C2 5B9243D4 81F3E6F9
78BDA5DF	7E641DAC 0143FEF1 7D276DE3 5A1A8A70 5E7A5880 7EB2DF6A 5AC5705A 751046DF 7D936353
7E3F578F	090FBC5A 5845C945 709B8B45 002805A1 77D5DE86 80A720F4 7810718C 7F71983C 7EF94CAB 7D2EA598 7FAE00F6 7F534D4C 5E2B1A9A 5D40ACD8 7D369EB4 0A9C6F91 7FBCD669 5ECF1231 7F99E54B
7EA5C156	78340D22 7FF2DE49 75DBF59C 7BA9ACD3
7D18976D	811E405E 7D7FC2A6 5CBD63DF 7E7A96FD 7E9DE2F7 76FF55A6 7EA72E79 5C258839 77DFADD8
7E66B247	5C11978A 7A2ED717 80A2E3C7 79D9C68E 5D06D7F7 5965E287 7D104CB3 8075CF4C 816D24FD 85C52F48 5BC87387 620AFBAA
7D92050F	770BE880 7EB697B8 7E7B5778 7F0F917A 7E45E323 6DF2379D 7E30C454 7F785D04 5ABBB3A8 781472C6 7E44F554 7FD6FF12 7CD35297 5D4DC904 7E20E8C3
793C9383	7DD78DA5 7FCB3341 7CF274BA 08D81237 7E318E1B 8060744B 79588544 7807D250 7EA37DA9 7DD472C8
7CEED01D	062A5974 23F3F987 5CDFC1AF 7835F708 0CF179CC 5AACC7ED 7F427D8F 7D4DB3F3 5F08BC02 5F3010E1 765BB0CB 5EB84117
7F5F05A0	805DDEB4 7E6D27FD 77C68EC1 7F424FCF 80B5131A 76DAF54D 81889984 7ABE5042 793412C0 805E8346 8073E70B 77AF3BCF 758C1542 5D7AEF4B 7C85E924 7E35C9AC 7B0732DE 83909CE1 7ECD6B9A
81023D98	74BDB5FE 83155CFE 8420392F 836A361B
80494943	7B229F79 78DC2841 80DB6D6F 760C1437 807ABCEA 595DDAA5 80487AE0 7C551E9E
80D03D7D	810852B9 6A1010A5 807E65A6 7AA25DEE
7A22C102	7EDA15F7 58F1F6F8 02387247 797C96FB
7CEA9CF9	7ECC8167 80DB3DDB 76D08824 081111D1 77929055 7C8537F9 7D5511CE 741440C6 5DC4977A 5F69950F 7F9A6FFD
7D6D8E72	816DC9CF 80E31996 5BB6888A 7DCD8D83 7980AE89 860D1C15 722AD47A 7E65AA37 095C6F63 5F6D00C6 811B6499 6B511E7A
803D3AC4	7DB54CEE 7EB85A40 7EE10BE1 5C713DC2 77AC3079 7F341408 7FEA9F6C 0A759B6D 5EE6408D 7E099BFF 7D90A80B 86287227 0A1D29D9
806DEF24	7F602862 80E31996 5EE224AC 760E64CC 8011A46B
