Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
311,73BBE5F0,,1,0,1,1,0,1,0,0,0,0,0.002777
312,809D0B92,,1,1,2,1,1,2,2,0.666667,0.75,2,0.002777
313,5DBAD248,,1,1,2,1,1,2,1,1,1,35.916667,0.072539
314,7E131A78,,0,2,2,0,2,2,3,0.545455,0.638889,0,0
315,7E7B35AB,,4,3,7,4,3,7,2,0.666667,0.75,11.75,0.013604
316,7F6C5DA1,,1,1,2,1,1,2,2,0.571429,0.625,2,0.002777
317,7EEB994E,,0,1,1,0,1,1,2,0.571429,0.625,0,0
318,5B776973,,2,0,2,2,0,2,0,0,0,0,0.006802
319,7C014E66,,2,0,2,2,0,2,0,0,0,0,0.008328
320,6BAC4FD1,,0,1,1,0,1,1,4,0.326531,0.380208,0,0
321,7B41CD3C,,2,0,2,2,0,2,0,0,0,0,0.020991
322,8131E064,,2,0,2,2,0,2,0,0,0,0,0.009854
323,787AF837,,0,5,5,0,5,5,7,0.28,0.357181,0,0
324,7FF7D9FA,,0,2,2,0,2,2,4,0.4375,0.511905,0,0
325,7DB541FD,,0,1,1,0,1,1,10,0.172956,0.227136,0,0
326,77282C69,,0,1,1,0,1,1,6,0.246753,0.278947,0,0
327,815185AA,,0,5,5,0,5,5,6,0.321716,0.376389,0,0
328,7730E04E,,0,1,1,0,1,1,1,1,1,0,0
329,5FD5E900,,1,0,1,1,0,1,0,0,0,0,0.002777
330,7E7D26F8,,1,0,1,1,0,1,0,0,0,0,0.002777
331,5B2C0AF6,,1,6,7,1,6,7,2,0.714286,0.8,5.5,0.002777
332,80173A83,,1,2,3,1,2,3,1,1,1,2,0.002777
333,6B3CEDC7,,0,3,3,0,3,3,7,0.25784,0.296075,0,0
334,80A3C647,,0,1,1,0,1,1,6,0.290076,0.333333,0,0
335,7E068B83,,0,33,33,0,33,33,6,0.362191,0.463415,0,0
336,016A014C,,2,1,3,2,1,3,5,0.287234,0.325926,0,0.005554
337,8138D709,,1,4,5,1,4,5,6,0.311518,0.362325,111.35,0.002777
338,7BF08CC9,,0,2,2,0,2,2,3,0.466667,0.571429,0,0
339,7D54C0CA,,1,0,1,1,0,1,0,0,0,0,0.002777
340,7D4998A5,,0,1,1,0,1,1,3,0.5,0.555556,0,0
341,7A89250C,,14,0,14,14,0,14,0,0,0,0,0.116557
342,7D46B253,,0,2,2,0,2,2,1,1,1,0,0
343,75C15747,,0,11,11,0,11,11,7,0.276596,0.344351,0,0
344,756433F1,,0,4,4,0,4,4,2,0.75,0.833333,0,0
345,6A4395FA,,2,1,3,2,1,3,1,1,1,0.5,0.008328
346,7E28BFE3,,3,3,6,3,3,6,2,0.636364,0.714286,34.65,0.022681
347,66208C16,,1,0,1,1,0,1,0,0,0,0,0.002777
348,79F03B15,,0,1,1,0,1,1,1,1,1,0,0
349,7DEEFE7C,,25,4,29,25,4,29,2,0.611111,0.681818,1579.97619,0.214745
350,2FF60008,,1,1,2,1,1,2,7,0.253472,0.277299,0,0.002777
351,8350D077,,0,1,1,0,1,1,2,0.666667,0.75,0,0
352,7C065B03,,0,2,2,0,2,2,5,0.368421,0.425,0,0
353,56D4093F,,1,0,1,1,0,1,0,0,0,0,0.061118
354,7B446227,,0,7,7,0,7,7,3,0.6,0.711111,0,0
355,77424DF6,,0,11,11,0,11,11,6,0.328736,0.398834,0,0
356,7595AFE1,,1,1,2,1,1,2,1,1,1,1,0.002777
357,7A0B9BD1,,0,2,2,0,2,2,4,0.411765,0.547619,0,0
358,0BB9ABB4,,1,0,1,1,0,1,0,0,0,0,0.002777
359,78B3A1C0,,7,0,7,7,0,7,0,0,0,0,0.154297
360,79E2B75F,,0,2,2,0,2,2,1,1,1,0,0
361,079C8E7C,,0,4,4,0,4,4,3,0.571429,0.652778,0,0
362,7DD25105,,5,0,5,5,0,5,0,0,0,0,0.015133
363,8032A92A,,0,3,3,0,3,3,2,0.8,0.875,0,0
364,7C039EC8,,1,0,1,1,0,1,0,0,0,0,0.002777
365,5C6B946F,,0,2,2,0,2,2,2,0.75,0.833333,0,0
366,77BA6E7B,,0,3,3,0,3,3,1,1,1,0,0
367,7E9B866C,,0,1,1,0,1,1,4,0.375,0.472222,0,0
368,7B229100,,1,0,1,1,0,1,0,0,0,0,0.002777
369,0B81702B,,0,1,1,0,1,1,7,0.217469,0.235968,0,0
370,7EFEDCA2,,0,2,2,0,2,2,2,0.666667,0.75,0,0
371,81685D9B,,5,5,10,5,5,10,4,0.5,0.666667,31.666667,0.015133
372,7F626239,,0,2,2,0,2,2,2,0.75,0.833333,0,0
