Paper_ID,Paper Title,Year,Indegree,Betweenness
78E0F768,Advantages of query biased summaries in information retrieval,1998,118,435
79F8721E,Information retrieval on the web,2000,116,264
809CA16B,What's new on the web?: the evolution of the web from a search engine perspective,2004,115,156
81719B17,Discovering object categories in image collections,2005,115,249
78F7B727,Searching the Web,2001,111,565
7B2F0A06,Hierarchical Clustering Algorithms for Document Datasets,2005,109,66
7C86A927,The stochastic approach for link-structure analysis (SALSA) and the TKC effect,2000,106,244
803EB3CE,Eye-tracking analysis of user behavior in WWW search,2004,106,106
7C73C958,Empirical and Theoretical Comparisons of Selected Criterion Functions for Document Clustering,2004,106,157
7ECA8D7D,Ontology based personalized search,1999,105,54
7A2111E3,The concept of relevance in IR,2003,104,279
814BB8CD,Personalized Web search for improving retrieval effectiveness,2004,104,75
7D309265,Overcoming the brittleness bottleneck using wikipedia: enhancing text categorization with encyclopedic knowledge,2006,104,301
7FBCCA83,Building efficient and effective metasearch engines,2002,104,1690
79A9EB7A,Query clustering using user logs,2002,103,174
7A83B838,Automatic text structuring and summarization,1997,103,698
7E176162,Web-scale information extraction in knowitall: (preliminary results),2004,102,83
7EE9B453,LETOR: Benchmark Dataset for Research on Learning to Rank for Information Retrieval,2007,101,146
80DC835F,Resolving ambiguity for cross-language retrieval,1998,100,256
7E49058B,Exploiting latent semantic information in statistical language modeling,2000,100,452
7E189BD2,Automated Text Summarization in SUMMARIST,1999,100,1547
757FEE09,Evaluation of hierarchical clustering algorithms for document datasets,2002,99,52
7E6EB523,Sentence similarity based on semantic nets and corpus statistics,2006,97,422
7DA817E5,Implicit user modeling for personalized search,2005,96,186
7A329D6A,Algorithmics and applications of tree and graph searching,2002,96,51
75A51C3D,Exploiting hierarchical domain structure to compute similarity,2003,95,51
7FE54DBB,How are we searching the world wide web?: a comparison of nine search engine transaction logs,2006,94,5087
7E30124C,The query-flow graph: model and applications,2008,93,1422
7694E331,The Importance of Prior Probabilities for Entry Page Search,2002,93,261
80FA37F3,The anatomy of a large-scale social search engine,2010,92,282
80FCD18B,Effective site finding using link anchor information,2001,92,1073
7E3B8422,A survey on the use of relevance feedback for information access systems,2003,92,677
7D2490F0,Query expansion by mining user logs,2003,91,2078
75BE5D13,Beyond the session timeout: automatic hierarchical segmentation of search topics in query logs,2008,91,1852
7EAF03D4,Adapting ranking SVM to document retrieval,2006,91,231
808AC408,Finding advertising keywords on web pages,2006,90,51
793E2B82,An information-theoretic approach to automatic query expansion,2001,89,4798
780D41CC,Topical locality in the Web,2000,88,560
5D6C196A,Mining the Web for Synonyms: PMI-IR versus LSA on TOEFL,2001,88,316
77A4A476,Data mining for hypertext: a tutorial survey,2000,88,69
7DD8D8BE,CubeSVD: a novel approach to personalized Web search,2005,88,228
7DAAD559,An Adaptation of the Vector-Space Model for Ontology-Based Information Retrieval,2007,88,134
07CAF9CA,Wordnet improves Text Document Clustering,2003,87,64
80571286,Query suggestion using hitting time,2008,87,344
7AC4BD08,How dynamic is the Web?,2000,87,73
7510D861,Finding information on the World Wide Web: the retrieval effectiveness of search engines,1999,87,748
7F25C8E2,Summarization beyond sentence extraction: a probabilistic approach to sentence compression,2002,86,209
796BA8B2,Less is more: probabilistic models for retrieving fewer relevant documents,2006,85,126
7ACDE861,Document clustering using word clusters via the information bottleneck method,2000,85,430
598AE889,Ontology-based personalized search and browsing,2003,84,107
79EE6651,Internet browsing and searching: user evaluations of category map and concept space techniques,1998,84,484
8.1128E+11,Automatic identification of user interest for personalized search,2006,84,1176
7EF34EC0,Using information scent to model user information needs and actions and the Web,2001,83,122
7C485C2A,The automated acquisition of topic signatures for text summarization,2000,83,412
7674C937,"Spam, damn spam, and statistics: using statistical analysis to locate spam web pages",2004,83,150
8150D0EB,A large-scale study of the evolution of web pages,2003,81,694
801D237F,Measuring Semantic Similarity between Words Using Web Search Engines,2007,79,652
7DC17497,Similarity of Semantic Relations,2006,78,110
78CE47C4,A user browsing model to predict search engine click data from past observations.,2008,78,269
7BEFAC75,The information-seeking practices of engineers: searching for documents as well as for people,2000,76,128
8.0052E+49,Personalized Search Based on User Search Histories,2005,76,353
78CC1B6A,Seeing the whole in parts: text summarization for web browsing on handheld devices,2001,75,146
8.125E+82,Impact of search engines on page popularity,2004,75,1832
7DB6FE04,Semantic clustering: Identifying topics in source code,2007,74,170
7DC76AC2,An information retrieval approach to concept location in source code,2004,74,101
7EDBEB9E,Fully automatic wrapper generation for search engines,2005,73,128
7F055959,Personalized web search by mapping user queries to categories,2002,72,415
80132787,Google's Deep Web crawl,2008,72,66
762D46A4,Disambiguating Web appearances of people in a social network,2005,72,363
7CE6756C,A survey of Web clustering engines,2009,72,264
76D55405,A Survey of Automatic Query Expansion in Information Retrieval,2012,72,1760
7B145537,A review of ontology based query expansion,2007,72,418
7A1ADD53,Unifying textual and visual cues for content-based image retrieval on the World Wide Web,1999,71,157
7AFCE058,Latent semantic indexing: a probabilistic analysis,1998,71,179
