7FAB472E	7A257281 76F8E2F7 7E82D131 77271972
7E273A2B	7BF2B424 7D69A1AE 800195D9 5AFD2384 7C91922F 7A41A934 7F38676A 7F4F1C8B 7E1D92E4 09B1E87A 7DA1FBB5 7DFE543D 7EA4295B 7D044DDE 7FD70D15 04259AC0 775E16C6 7CC8B1D2 812083FA 78FD4DFA 7A01E8C3 5E848BB1 7624B9C9 78BD33F7 7B30B4B2 7CCA1F0E 7D8968C2 7618958D 76AF8D41 7CB98575 7EE77FB0 80D6D89A 7D5743C7 7CD9D0AD 7DAE2451 7EA884C7 7EB5FF9C 787757C9 77273DCF 77C1FA81 7E09B126 0804B675 5FBF31DE 7BEE79B0 7C534D7A 79A74D6E 76F98391 7F6F246E 80030709 7F592A12 7FC834BC 77292772 7E2A4BB5 7948C31C 76FDFB3F 7EF7356E
81463545	78AB44AC 6B44EA85 7C16DAD0 5B3628D8 08D7669D 7DF34231
7F1091DE	12018647 80FAC64B 6667988A 8076D90C 7E09A56B 73731153 7D2F9B29 7EB10373 7DA20838 7F4E61AB 786B00B7 5FC07A70
7ED0E8F1	7E6F8965 800A3B52 7F24FAFC 81E8FAB3
7DD2A0C3	7F4E8F27 7FCD4312 71EF8213 7C3F6E47
7F5FA2BE	7DCB73C5
7AA74125	5ADC5EFF 7B132C20 113A2FBF 7D5EA5A3
7DAD232B	60888BA4 7F6FE4AA 788DBB8B 80EDC990 8094A537 09EDA7EA 85962DD0 7B8F5253 59393F07 75C94A81 7DECF01B 7532D0AE
765DD48E	7B7FFE78 760E3341 770977EB 78579EE7 78D229AB 76F75615 08F88B00 80356289 75A75476 762FC360 7A59F22D 77E37645 7878F567 7AB265A1 800B5BF0 79B750D6 0643D784 7B14062F 00A17BB2 7720E08C 75621766
7FB2A3CA	7F2F9558 7ECA27B4 7ACEB6AA 7C34D49B 7EF4653C 6EF5B51F
7D39B55D	7AE03F6C 5D5A9ED4 796E8794
804E08F4	80127988 754D851A 7F8F443C 7BD8959C 81E8FAB3 015E1B29
70A794B5	822053D0
7D890266	7590A32E 8067E00F 80AECF8A 7FEEABF7 08181373 7FBCD6C2 5CCFF8E3 7C2CE884 5A419DA3
7AB722C3	782D5E90 79B13521 7CA89035 7A54ED14 7B48253F 7B508799 75D89303 79B50D58 78DF55EB 7DE4C4BE 78EF5D5C 7CB41199 7BDB0369 7CF5047B 7FB4A950 7776A2EB 7EAE4037 784538F2 7F46F6EE 7A824F55 7D82EDDA 7D7C5542 769DE5C9 772957E6 7791A785 76AE5ECD 78BD4174 7BB6F8B4 755D1433 770D6274 7B17FB4F 76FBF09A 78C3A950 7C16BD8D 7726F029 78D5638D 7970CCA0 59EDCF59 77F3FAC4 79A4F7CB
03AA0FC0	5CD90146 7DD7B6BD 010F105A 7E62E547
7DB8AA3E	7D12D92C 785B9574 7D805EC2 783ACB04 7AAF768E 78D276C2 7AA8A034 76943C55 77F5AA44 764A20F7 7796F25E 7B7312C2 7CAA7A4B 7D022166 7D8AEF45 754A6786 7747C317 7DC33A0A 765331B5 787A97FC 7AFC837D 801CC72B 79A448C5 79B56F62 80F5278B 7AEB315F 811CFBE2 78E53DF7 77A8B35B 7B11C0E4 757035A6 7656C07F 7BEB2367 5D6158FF 7647DF3F 77C65FC4 794BE90A 7746AF2E 779F88E5 7662F5FB 7BEC1FFF 7BA9E040 7510AFFA 7659BAF8 7C19579A 777DA888 7A6F6B80
78DD3751	7E30AC4E 7F861F1F 81604380 7D478673 7A3D2AA5 02B5CEEF 79398DDC 7D1F6ABB 0E1F9660 7CF5A254 0A81B92A 7ACAC434 05E915B2 7CF14C74 7E1E4B14
7CB8F339	7E236FFD 7FAF4656 76862520 77FE108A 7D2F36BA 7888AB2D 8001326A 777F3982
80AE4EC0	58C09ACE 04CCDD46 7AEB315F 5EC349E2 804739E9 755BA24D 76CAC6A4 7E1B9796 7D312D35 7E51F9A8 8118AD5B
817853D9	5BFCEB08 7B9B2657 8096C0E7 5978E55C 5E7792B9
5D81174C	06843754 7E365138 5B8F170E 5E1FFC38 7F42A91A
7927BF13	7C40BB62 7FCB41BC
800B71C1	7675655B 03D21A13 6E0AB6A2 006EF9FE 6C8FC27A 7FFDB470 59C80721 06CEF441
80673CA3	80E169E7 7C65AE47 5B9C9F0A 816BBE07 7D797AAD 7602721A 7E730C55 8094A537 7B807232 7C7DFF2D 7B7EE6C2 7C37FFDB 147C6ABF 7FBC303E
7EDC5B03	7B59462D 75CE78CE 765BE8FA 0A935016 77821D7B
7F7F4292	78D8FA76 81052849 7D65D32D 0912A3F2 78815B17
7EBC35EA	80023DC2 7532D0AE 7AE6ADDE 7603F48B 78B5AECE 76E0DAA6 7FFCC7FD 760C96D6
7EF8F745	7A1AE7D9 792267BA 81258643 794A8B8C 80956B49 7FEA917B 816FA32F 7F58E8E1 7963BE5B
