7D4B47A5	77562D43 5CD97CE9 76E70C6C 768E0C62 807F8821 7DC9036C 7ECEC881 7DE921F5 79CBDC59 8021EC0E 7C395D05 80D544E1 7E9E8047 7537398E 5D5C8A80 7E105A17 79E08A87 00DC08C5 7E7A7BA2 7F6204C6 5F0AFC18 7F587A0F
7ED0BE26	809CADCA 5EB91362 7EAD4110 80470095 5B7CAF2A 7D4111A0 5BD62448 7979E1F8 7AB5C51B
08B89D1F	048A3AEA 78BEE087 067AFC04 7517016C 755E0ACD 0F1FE279 599583F2 0496400C 7A89DF40 768FE101 5F0548E0
7DD2526F	0A5ABB73 7683CA6A 78B7913C
7ECF5F83	76A98920 75AFDCE3 7A89E80E 07BE2BC8 756CF312 76937A23 7F29961A
8076287D	7ED04355 79512D41 7F29BC27 7DEF67AE 800FE3C5 7E4F5377 80EA3355 7E929987 718794AC 7E75896D
812F380D	7F637EF0 801721D1 809B88D6 5A327BF6 7AAEB7FA 5DA106AA 7AA48E29 7A6A3891 5F342087 803D9D7F 5D205EC2
7B4FE56C	7B5BA1D0 7E7A64BE 085CFE91 75EBE974 76E51087 593E5200 7E094068 81B444D2 7FA9926A 7DFC350C 7D95825C 77D81D7F 7B14396D 7E7CD842 8021EC0E 0091651C 7AFF8191 80EEE778 7FE03188 78A2751F 77B9648D 7767892E 7527FD8C 7B49C302 7E547F9B 77E6410D 7993FBF9
78EEE080	7608FC5B 7EBD7EBA 8070B1C2 7549E922 78409919 7922A1FE 074CC61C 75A40405 766A70BE 78DF4EBE 775625B4 78FB5297 7AC7D918 804F5211 807F4A2D 77363AA8 79C83E0B 77475C20 7711A667 7E1ABF58 759BF772 7640B584 7A9DA0F6 7EDB0F59 07106817 7709E28A 76B4D45D 7C62BAC0 7D64FE3F 7AC0D7DD 80D1CE99 80C021DF
8079A985	81343169 60C23CD7 7A105E65 806D3D69 7EA9C51B 59C818AC 7EEE6F74 81347720 7985CEA1 7C43B6E0 7D7C7901 7B50A080 7FAD021A 5C599650
7FD0666E	5F02FE51 7DD3A52B 76118CAA 7D31061D 6E6A3872 5FA02166 0A82B4FA
5C5A86BE	5B405BD1 6DB4FA1C 01B18961 62B2330E 7DE3BCB2 5D89B663 5D31DABC 0AA51ABB 72E0F3FE 5D686F81 5F9F1AE0 7EA9C51B
