7FEA7DF8	5CE8050D 77DB375A 74E3440D 7D00AEB0 7551F351 7D170836 7734543E 80784E95 813495CE 7E32701B 7F475D0B 7A838916 78319594 7AFF9F4E 8031023C
808A60E5	7911BB5A 8045C7AF 0287C5C2 72827FFC 7E86285A 7EBF0E09
7F85C194	6C87D98B 78789DC7 7E3FB5E8 754A1A46 7689B8F4
7FB00278	7D221CDA 7E3E0BA5 586FA6C7 01DC04E9 7FF6B77B
77B971A0	72C67DA1 7FB3ABDE 0A4E3A80 80982642 812CFA42 62EF2E5C 7D7F1B9B
7F308402	79431B03 7905F409 792647DE 5866EF99 7E0173B4 5EFBC56C 4ADC962B 7FD3F318
7E585C82	79B59229 76A8F10D 61BD4AF1 7787F887 097BCFDB 22ED470D 023280CB 804B10B5 7F35A543 7FEB147C 7AFC4F91 7FECDF10 7897A5D0 7ED2184D 7C2EBF4E 7ED2629A 7CF66276 7EB1E5D2 7B3FD610
794052DA	5C936206 7DA6D587 80B80FCC 7FDE1A1F 7DB8050B 7FE37086 7FAFC9D5
7DDD9360	5E073B31 7673483B 7FDB16B7 5866EF99 61BD4AF1 58A0892D 66891D7D 7FD3F318 7ED2184D 7DCA2D89 792647DE 7E3981FF 7E0173B4 80439F0B 7FEB147C 7EFF17F6 8117F8D0
79204604	7F22C203 80220EED 7EA703CB 7E2B76FD 77F86F6F 7B0AE8C5 7523BFB2 786AD364 7E45BA76 778B681B 7E09318C 80C31A0C 80F09C92
7DCFB99A	5D27CF8A 7D891CC1 7C234913 4ADC962B 75337F86 764691DD 80081F81 811AB508 7DDD9360 7DCA2D89 779E4A8B 7EB1E5D2
7BA5EAED	7BE3FE39 7DC3014E 8021D4DD 80EC24E2 7EFA7974 7FCCCBB3 61BD4AF1 7C0FCEB9
769445E6	7E2D547D 7EC8B8E4 7DB6CB3D 7A1DA78D 7DF586C0 09DAC382 7CB20190 788939D7
815829F0	59DD7D37 8060E723 8025C5D6 6C87D98B 7A3D34F2 7C23EB4C 7ED2629A
7E385865	08DCFB00 7F0E2B98 7E23C1C2 61BD4AF1 658170DB 7E58189A 80A5F326
787368E0	7FFA958A 7ED2629A 61BD4AF1 7DB6CB3D
78D6908A	791F4BE8 61BD4AF1 80C144FE
78C1700F	7B812B06 7E333A78 78D4DAE3 7FCCCBB3 8036C1EA 7CEAF6EF 7E33FE34 7B81D628 7FFA958A 75240883 77F60471 7D084A97 7DAB72E5 769E9999 779C62B0 762AE41E 7ED2629A 7D0A1663 7AB4CB54 7E9CF25E 7EC0988C 7FF15522 808DB2E5 7D267F92 764552C0
7F238B95	72A69B1B 7C0FCEB9 7812615D 7ED2629A 7E3E0BA5 8034D808 784E292A 7B8AE48A 5F5683DB
7E17FE5A	7AFC4F91 803F03F6 7602567E 781E3669 5835D16F 7787F887 7D8AED5A 7E4C87CC 7FAC73A2 7FEB147C 7E7B912E 7BD68698 5D51A3A8 7A8049D2 76DAC649 074F190B
810F0D73	800F8DF4 7FEFDB6A 5AE63DFF 7ACEB6AA 810A6D28 70D51BC5 7E5C3063
7B5EE65E	7BA349CB 7E3E0BA5 83147712 7A173C60 22F2CCA0 17AABDC9
810211B8	769E5598 7E5B81BA 7D90835A 7A8049D2 5866EF99 6C87D98B 61BD4AF1 7D9D95F4 7EAAD825 77C34FFF 7FCCCBB3
7F4377DF	7ED2629A 7D870D93 7E3BE29D 7B26E4E4 81BCA1C2 7F66C647 7F3F2820 75B44174
7FB10E08	7E5D4364 7F8ACF8D 715E5963 80F5D018 7ED2629A 80633235 7E5271B0 7F6603DF 7A2BDBF6 71154332 7CEE687C 7ED87EE0
801C65A2	0BC7821E 762D33C4 73F3B992 7F9CCB3F 7E3076F9 7F9D79CE 7778C707 80F3F762 7915F528 63FB3E70 7DAD7175 791706DC 78FFBF02 7D4A1013 7F6A2D72 80282A8F 78466DCB 8038D1A8 7CAE87A0
7E8E2000	78C6B10C 7D71385D 5D8683D3 6B4DFF34 7ED2629A 6C87D98B 7E2D547D 7B259DF1 7E5B81BA
7E789518	75218542 7AB2C605 7F81A135 7E52A89F 7BC56C9B 75C5AE61 7F18D480
7FF44C75	75BE9857 7BA5489D 7EDECCD8 7EE71808 8034D228 7EDFE9E0 5A57A437 7E45BA76 027106BE 02A8F74F 7FB3ABDE 80CF0B1B 7FB6C971 7EA703CB 0589BD70 7AB2C169 7DB7B674 80C497D6 583BF6F6 7CF0EB54 79EFE962 7E2DAD9E 7E6E3C55 7FAE9C94 7F6033C3 7F9379BE 5E34A8A8 7F77C7D3 806C38BC 7C943D9C 7D65A1E0 80DB5AB2 5CD7006B 754A1A46
7EB947BD	77003ECF 80332D1B 586FA6C7 79E0C76E 80C497D6 80A5F326 789B4967 80A203CA
7E13ADA6	7A3D34F2 7CF1E285 7D25F000 802FD1C9
80F8D51C	762F072E 7EB0B9DE 7ED2629A 80AB6EEF 7879AD81 5CFDF44B 7FE2C8DA 803F4A8A 7C670E08 7A8049D2 7FCCCBB3 803F03F6 78C6B10C 754A1A46 78AC0104 6D5D8964 778B7BD5 806C38BC 808EDD1B 771F15D4
7E4C87CC	75C8D07B 042A7770 7F5D15FB 240D4E13 6A8BB189 78C1DC0F 7FCCCBB3 7F01B239 79B59229 7EB0B9DE 7DEA8E2B 769D242E 7D3BC42A 7DB0379C 7620F87C 09AEEE4F 778B7BD5 7FE37086 806C38BC 5ECB9F1B 5EC0173C 7A8049D2
